ETC_20150317_005001	이미 향나는 돌가루가 묻어있습니다!
ETC_20150317_005002	기록물 확인 중
ETC_20150317_005003	유품 확인 중
ETC_20150317_005004	탁본 작업 중
ETC_20150317_005005	석화된 책의 탁본을 제작했습니다!
ETC_20150317_005006	석화 융해제를 던졌습니다!
ETC_20150317_005007	의식 확인 중
ETC_20150317_005008	이미 의식을 잃은 것 같습니다.
ETC_20150317_005009	경비병을 위로해 줬습니다.
ETC_20150317_005010	고맙습니다..
ETC_20150317_005011	아무것도.. 보이지 않아
ETC_20150317_005012	움직일 수 없어!
ETC_20150317_005013	어머니가 보고싶어..
ETC_20150317_005014	왜 내가 죽어야하는거야!
ETC_20150317_005015	여신이여 저를 거두소서..
ETC_20150317_005016	누구 없어! 살려줘!
ETC_20150317_005017	해방영약 사용 중
ETC_20150317_005018	불붙이는 중
ETC_20150317_005019	화로에 불을 붙였습니다!
ETC_20150317_005020	루클리스 시대의 기록물을 획득했습니다!
ETC_20150317_005021	{@st41}{img F2 40 40}키를 사용하여 인벤토리를 열어 경험치 카드를 사용하세요.{nl}{@st50}{img icon_item_expcard 40 40} 경험치 카드를 사용하면 경험치 보상을 얻을 수 있습니다. {/}
ETC_20150317_005022	왕릉 석등이 수호자들에게 공격을 받고 있습니다.
ETC_20150317_005023	베아카라스의 억제된 힘이 돌아왔다.
ETC_20150317_005024	Panto_Rsword:뜨거운 판토 전사:50/Panto_Rspear:뜨거운 판토 창병:50/Panto_Rhand:뜨거운 판토:50/Panto_Rstaff:뜨거운 판토 마법사:51
ETC_20150317_005025	아이템 제작 중
ETC_20150317_005026	계시자에 대해 묻는다
ETC_20150317_005027	지금의 상황에 대해 묻는다
ETC_20150317_005028	4년 전의 신수의 날에 대해 묻는다
ETC_20150317_005029	여신의 실종에 대해 묻는다
ETC_20150317_005030	어떻게 된 건지 묻는다
ETC_20150317_005031	라이마 여신이 빠진 것 같다고 말한다
ETC_20150317_005032	대왕의 봉인이 표시된 지도를 찾았습니다!
ETC_20150317_005033	마을 사람들은 마족이였습니다.{nl}풀가람 터의 포탈로 도망치세요.
ETC_20150317_005034	마법사의 탑에 대해
ETC_20150317_005035	저주받은 도시에 대해
ETC_20150317_005036	페디미안에 대해
ETC_20150317_005037	대성당에 대해
ETC_20150317_005038	붉은색
ETC_20150317_005039	푸른색
ETC_20150317_005040	빗살무늬
ETC_20150317_005041	목이 긴 모양
ETC_20150317_005042	장식 새김
ETC_20150317_005043	빗무늬
ETC_20150317_005044	나무 문양
ETC_20150317_005045	벌 문양
ETC_20150317_005046	부엉이 문양
ETC_20150317_005047	흙빛
ETC_20150317_005048	입이 넓은 도자기
ETC_20150317_005049	옥빛
ETC_20150317_005050	잿빛
ETC_20150317_005051	흰색
ETC_20150317_005052	민무늬
ETC_20150317_005053	금이 간 도자기
ETC_20150317_005054	로무바 문양
ETC_20150317_005055	이가 빠진 도자기
ETC_20150317_005056	손잡이가 달린 도자기
ETC_20150317_005057	파도 무늬
ETC_20150317_005058	고동색
ETC_20150317_005059	자색
ETC_20150317_005060	바람 무늬
ETC_20150317_005061	갈라진 도자기
ETC_20150317_005062	볼품없는 도자기
ETC_20150317_005063	감람빛
ETC_20150317_005064	흙이 묻은 도자기
ETC_20150317_005065	윤이 나는 도자기
ETC_20150317_005066	참나무 문양
ETC_20150317_005067	표면이 거친 도자기
ETC_20150317_005068	남색
ETC_20150317_005069	투.....투투...! 살려줘!!!
ETC_20150317_005070	언낙커를 처치하세요!
ETC_20150317_005071	지하 중앙 결계
ETC_20150317_005072	잘 보게..
ETC_20150317_005073	사이클롭스를 처치하고 추종자 바이두티스를 찾아가세요!
ETC_20150317_005074	제스티는 어디에 있지?
ETC_20150317_005075	여긴 네게 맡기마
ETC_20150317_005076	조심하세요 알기스
ETC_20150317_005077	머미가스트를 처치하세요
ETC_20150317_005078	말렛 와이번의 함정에 걸렸습니다!{nl}말렛 와이번을 처치하세요!
