QUEST_LV_0100_20150317_000001	Sentinel
QUEST_LV_0100_20150317_000002	Jika kamu memilih pergi ke Klaipeda. Saya sarankan untuk lewat Shadow Forest Road {nl} sangat berbahaya berada didalam Hutan, usahakan menjauh dari hutan sebisa mungkin.
QUEST_LV_0100_20150317_000003	Laki-laki yang bersembunyi
QUEST_LV_0100_20150317_000004	Akh… Akhirnya! Bala bantuan tiba? {nl} Huh!? Hanya seorang anak muda? Hey, apa Vubbes masih berada diluar sana?
QUEST_LV_0100_20150317_000005	Ugh…Menjauh dariku! Jangan berbicara padaku! Kita akan tertangkap oleh Vubbes! {nl} Ini tempatku, jadi pergilah dari sini!
QUEST_LV_0100_20150317_000006	Apa! Jangan berbohong kepadaku! Aroma Vubbes sangat menyengat dihidungku!{nl}Kamu tidak bisa membodohiku! Enyahlah! Jangan mendekat disekitar barrel ini!
QUEST_LV_0100_20150317_000007	Akh… Akhirnya! Bala bantuan tiba? {nl} Huh!? Hanya seorang anak muda? Apa yang kamu lihat? Tutup pintunya dan pergilah! {nl} 
QUEST_LV_0100_20150317_000008	Tetapi kertas yang kamu pegang…..terlihat tidak asing!? {nl} coba ku lihat! Apa yang kamu lakukan? Hey, orang dewasa sedang berbicara kepadamu!
QUEST_LV_0100_20150317_000009	Ini!! Punyaku?! Aku tak akan pernah memberikannya lagi!! {nl} in bukanlah sesuatu yang kamu butuhkan. Aku akan merobeknya menjadi beberapa bagian!
QUEST_LV_0100_20150317_000010	Shhh, itu sangat memalukan…
QUEST_LV_0100_20150317_000011	Ini adalah tanda awal setelah para Goddess  menghilang.{nl}Mungkin, dari sekian banyak orang, ada satu orang yang mampu membawa kembali Goddess .
QUEST_LV_0100_20150317_000012	Soldier Blak
QUEST_LV_0100_20150317_000013	Waspadalah!{nl}Para monster menyerang, sehingga semua penduduk harus dievakuasi{nl} Namun bagaimana bisa para penduduk berada di dalam Military zone? {nl}
QUEST_LV_0100_20150317_000014	Ah. Jadi kamu sang Savior! Maafkan aku yang tidak mengenalimu. {nl} Para monster itu menyerang supply base saat ini. {nl} Aku perlu membawa keluar beberapa supply penting dari sana. Tolong bantu aku!
QUEST_LV_0100_20150317_000015	Tempat ini sangat damai sebelumnya, tapi sekarang mereka berdatangan dalam jumlah yang besar. {nl} apa yang terjadi?
QUEST_LV_0100_20150317_000016	Meskipun begitu, Aku merasa tidak tenang…{nl} Siapa yang  menyangka mereka menyerang dengan cara yang tidak masuk di akal.
QUEST_LV_0100_20150317_000017	Ikuti jalan ini maka kamu akan sampai di supply warehouse pertama. {nl} Tolong kumpulkan supply apa pun yang masih tersisa!
QUEST_LV_0100_20150317_000018	Untuk berjaga - jaga saja siapa tahu kamu butuh dikemudian hari, aku akan menulis siapa Sparnas itu. {nl} Mungkin kamu tidak tahu, aku adalah seorang biologist 4 tahun yang lalu.
QUEST_LV_0100_20150317_000019	Tolong berikan laporan ini kepada Luders, {nl} kemungkinan dia berada di Center Supply Camp.
QUEST_LV_0100_20150317_000020	Officer Luders
QUEST_LV_0100_20150317_000021	Ah,  kamu pasti Savior yang dirumorkan itu, senang bertemu denganmu. {nl} apakah ini Report dari Blak!{nl}
QUEST_LV_0100_20150317_000022	Hmmmm…Jadi begitu?{nl} mereka hanya menghancurkan Supply itu dan pergi? Bahkan jika chupacabras mempunyai sayap, aku yakin mereka tak akan mampu melakukan hal seperti itu. {nl}.
QUEST_LV_0100_20150317_000023	Ini masih belum cukup.{nl} Maafkan aku, tapi tolong bawalah kami ke Moody's Report dari Amzina Curved Path.
QUEST_LV_0100_20150317_000024	Aku merasa lebih baik semenjak Luders berada disini.
QUEST_LV_0100_20150317_000025	Soldier York
QUEST_LV_0100_20150317_000026	Siaulambs telah menyebrangi perbatasan. {nl} aku jadi panik, dan aku pun tak tahu apa yang harus dilakukan. {nl} Aku yakin Luders tidak menginginkan ini terjadi… apa yang harus kita lakukan?
QUEST_LV_0100_20150317_000027	Kamu pikir masalahnya akan selesai hanya dengan mengalahkan Sparnas?
QUEST_LV_0100_20150317_000028	Terima kasih atas bantuanmu, aku rasa aku dapat mengendalikan diri dari rasa panik.{nl} tetapi….Hal seperti ini akan terjadi kembali bukan? Lalu apa yang harus aku lakukan…
QUEST_LV_0100_20150317_000029	Sparnas? Kami tidak mempunyai jawaban pasti mengenai hal itu.{nl} Tiba tiba muncul dari udara tanpa ada tanda-tanda sebelumnya, menghancurkan semua supply dan langsung menghilang. {nl} aku mendadak pusing hanya dengan mendengarkan suara tangisannya saja.
QUEST_LV_0100_20150317_000030	Tempat yang kuberitahukan kepadamu adalah warehouse supply kedua. {nl} Ini sangat memusingkan karena hal ini dapat terulang kembali kedepannya.
QUEST_LV_0100_20150317_000031	Bawa ini. Umpan ini terbuat dari Old grain. {nl} Sparnas pasti akan muncul disalah satu dari dua tempat ini. Jangan sampai gagal. Dan pastikan hancur. {nl}
QUEST_LV_0100_20150317_000032	Mungkin kita tidak akan mendapatkan kesempatan untuk kedua kalinya, jika kita tidak mengalahkannya kali ini. {nl} Mereka tidaklah bodoh
QUEST_LV_0100_20150317_000033	Aku mendengar suara pertarungan, sehingga aku datang secepat mungkin.. Apakah kamu telah mengalahkannya?{nl} Saya hanya melihat Siaulambs di tempaku.{nl}Terima kasih. Ini semua berkat anda. 
QUEST_LV_0100_20150317_000034	Adjutant General Paulina
QUEST_LV_0100_20150317_000035	Kita harus mendapatkan kembali supply yang telah di curi.{nl} kita bukanlah prajurit kerajaan bila kita tidak bisa berbuat apa - apa.{nl}
QUEST_LV_0100_20150317_000036	Supply dicuri oleh Siaulambs di setiap Supply Warehouse,{nl} rebut kembali supply yang dicuri dan bawa ke Volda.
QUEST_LV_0100_20150317_000037	Aku merasa begitu muak karena harus bersabar selama ini. {nl} Reiforcemnet seharusnya segera datang. {nl}Namun apa yang bisa kami harapkan dari kerajaan yang tidak berkompeten ini?
QUEST_LV_0100_20150317_000038	Adjutant General Volda
QUEST_LV_0100_20150317_000039	Kamu pasti sibuk akan hal lain jadi terima kasih banyak. {nl} Dan kami tidak hanya duduk diam dan menunggu. Kami akan terus menyerang.
QUEST_LV_0100_20150317_000040	Secret Guardian
QUEST_LV_0100_20150317_000041	Goddess sudah di meramalkannya. {nl} Tiada yang bisa lolos dari ramalannya.
QUEST_LV_0100_20150317_000042	Liaison Officer Niels
QUEST_LV_0100_20150317_000043	Hello. {nl} Apakah kamu melihat orang tua yang kehilangan arah?{nl} Namanya Jonas.{nl}
QUEST_LV_0100_20150317_000044	Kamu tidak menemukannya?{nl} dimana dia sekarang. Kelakuannya kekanak - kanakan.
QUEST_LV_0100_20150317_000045	Jonas adalah salah satu keturunan keluarga yang ikut melindungi Royal Mausoleum ini. {nl} dia adalah orang yang sangat penting pada tim lab kami. Jadi tolong jagalah ia .
QUEST_LV_0100_20150317_000046	Archivist Jonas
QUEST_LV_0100_20150317_000047	Kami sudah lama menunggu. {nl} sekarang waktunya untuk memberikanmu sesuatu yang telah kami lindungi selama ini.
QUEST_LV_0100_20150317_000048	Senang mendengar Jonas telah kembali sadar. {nl} Kamukah orang yang memberikan sinyal itu?
QUEST_LV_0100_20150317_000049	Ahylas datang dan melihat cahaya sinyal. {nl} temui dia dibawah tangga.
QUEST_LV_0100_20150317_000050	Sudah lama kami tidak mendengar kabar dari Kepeck, semenjak kami mengirimkan supplies kepadanya.{nl}Kami tidak memiliki cukup orang untuk membentuk tim pencari, jadi tolong cari dia.
QUEST_LV_0100_20150317_000051	Historian Viode
QUEST_LV_0100_20150317_000052	Selalu bersiap untuk serangan dari monster.{nl}Terutama ditempat seperti ini.
QUEST_LV_0100_20150317_000053	Mercenary Mirta
QUEST_LV_0100_20150317_000054	Aku sudah memperingatkan bukan?{nl} Lain kali berhati-hatilah.
QUEST_LV_0100_20150317_000055	Historian Kepeck
QUEST_LV_0100_20150317_000056	Pasti Niels yang mengirim kamu.{nl}Nah, karena kamu sedang terburu-buru catat sendiri dan kembali ke Niels.
QUEST_LV_0100_20150317_000057	Jika kamu berjalan lurus, ambil jalan ke kanan dan melintasi Jembatan, kamu akan melihat artifacts of the Great King Zachariel.{nl}Catat dan bawa kepada Niels. Dia akan mengerti.
QUEST_LV_0100_20150317_000058	Jadi ini catatan Kepeck.. Mercenary Mirta sedang mencari ini.{nl}Kamu membantu memastikan keselamatan dua individu. Terima kasih atas usahamu.
QUEST_LV_0100_20150317_000059	Ahylas Jonas
QUEST_LV_0100_20150317_000060	Sekarang pergilah ke Broken Pillar Canyon dengan membawa Seal Removing Stone itu.{nl} Murid Gustas akan memberi tahukan cara untuk melepas segel di tempat itu secara berurutan.
QUEST_LV_0100_20150317_000061	Masih juga belum mendapatkan panduan?{nl}Murid dari Gustas yang ada di Broken Pillar Canyon.{nl} panduan itu dibuat untuk mengirimkan kepada yang terpilih saja.
QUEST_LV_0100_20150317_000062	Disciple of Gustas
QUEST_LV_0100_20150317_000063	Apakah kamu ingin membuka Seal of Pagasa Cliff?{nl} Kamu harus memulainya dari seal itu.
QUEST_LV_0100_20150317_000064	Kata - kata yang terukir diatas batu
QUEST_LV_0100_20150317_000065	Dilarang menyentuh atau mendorong batu.
QUEST_LV_0100_20150317_000066	Aku sudah menunggumu. {nl} Seal berikutnya terletak dijalan menuju Collapsed Sanctum.
QUEST_LV_0100_20150317_000067	Kamu tidak tahu bagaimana perasaan kami menunggu momen ini. {nl} kami ingin sekali bertemu denganmu.
QUEST_LV_0100_20150317_000068	Gustas Jonas
QUEST_LV_0100_20150317_000069	Jadi itu kamu. {nl} Kamu terlihat lebih gagah dari yang ku bayangkan.
QUEST_LV_0100_20150317_000070	Soldier Alan
QUEST_LV_0100_20150317_000071	Kamu adalah prajurit baru kan?{nl} Aku mendapatkan surat tugas, tapi ku rasa kamu dapat melakukannya untuk mewakiliku.
QUEST_LV_0100_20150317_000072	Kamu cukup hebat sebagai pemula. {nl}Aku tidak mau kesana karena banyak memori yang buruk terjadi disana.
QUEST_LV_0100_20150317_000073	Aku mulai mengingat sesuatu…
QUEST_LV_0100_20150317_000074	Kau mengetahui bahwa kami pasukan yang berpatroli untuk menghabisi Gaigalas, kan?{nl}Prajurit baru. Bisakah kamu mengantarkan laporan ini kepada Commander Wallace?
QUEST_LV_0100_20150317_000075	Commander Wallace
QUEST_LV_0100_20150317_000076	Kenapa Alan tidak datang dan malah kamu yang membawa laporan ini?{nl} Apakah kamu prajurit yang baru di rekrut?
QUEST_LV_0100_20150317_000077	Aku bisa pulang setelah mengalahkan Gaigalas.{nl} Ah, aku ingin segera pulang secepat mungkin.
QUEST_LV_0100_20150317_000078	Commander Wallace berada di Bird Footprint Junction.
QUEST_LV_0100_20150317_000079	Aku tidak perduli seberapa hebatnya kamu. Kamu masih anak baru disini.{nl} dan ini perintah. Bawakan sap dari Kepa Raiders.
QUEST_LV_0100_20150317_000080	Para prajurit sekarang ini, mereka kurang memiliki nyali.{nl} Ku harap kamu bisa menjadi contoh yang bagus untuk mereka.
QUEST_LV_0100_20150317_000081	Aku yakin kita akan menangkan peperangan ini. {nl} Kenapa?  Karena Owls akan membantu kita.
QUEST_LV_0100_20150317_000082	Kepa Raiders berada didekat Lanutis Waterfall.{nl} Untuk mengalahkan Gaigalas, kita sangat membutuhkannya.
QUEST_LV_0100_20150317_000083	Soldier Weiz
QUEST_LV_0100_20150317_000084	Hey apa kamu sedang beristirahat?{nl}Ambil beberapa Duckey Fat di Lengvas Garden.
QUEST_LV_0100_20150317_000085	Kami akan mamancing Gaigalas dengan menggunakan Ducky Fat. {nl} hey anak baru, jangan bermalas-malasan, oke?
QUEST_LV_0100_20150317_000086	Hari ini akan menjadi hari terakhir bagi Gaigalas. {nl}Anak baru, apa kamu siap?
QUEST_LV_0100_20150317_000087	Berikutnya, kita harus mendapatkan Leather dari Cronewt yang hidup di Lengvas Garden. {nl} Ayo cepat, prajurit.
QUEST_LV_0100_20150317_000088	Kali ini kita pasti akan menang.{nl}Goddess ada dipihak kita.
QUEST_LV_0100_20150317_000089	Kamu cukup hebat sebagai pemula.{nl} Untuk saat ini masih belum terorganisir jadi simpan saja bahan tersebut untuk sekarang.{nl}
QUEST_LV_0100_20150317_000090	Sambil aku melakukan persiapan untuk peperangan nanti, cari tahu keadaan pasukan kita. {nl} aku akan memanggilmu sebelum kita berhadapan langsung dengan Gaigalas
QUEST_LV_0100_20150317_000091	Ketika kita membakar Ducky Fat, Gaigalas akan muncul setelah mencium aromanya. {nl} Lengvas Garden merupakan tempat yang cocok untuk membakarnya.
QUEST_LV_0100_20150317_000092	Jantungku berdebar. {nl} aku merasa jiwaku juga ikut berdebar.
QUEST_LV_0100_20150317_000093	Old Owl Sculpture
QUEST_LV_0100_20150317_000094	Tidak ada siapa pun di hutan ini. Kenapa kamu berada disini?{nl} 
QUEST_LV_0100_20150317_000095	Gaigalas?{nl} akan sulit untuk mengalahkannya tanpa adanya bantuan.
QUEST_LV_0100_20150317_000096	Aku sudah melihat banyak kematian disini.{nl} aku tidak ingin melihat adanya penggorbanan lagi.
QUEST_LV_0100_20150317_000097	Aku butuh Kepa Raider Sap dan Cronewt Leather.
QUEST_LV_0100_20150317_000098	Kenapa kamu bisa memilikinya?{nl} Berikan kepadaku. Aku akan membuatkan Memory Fragment .
QUEST_LV_0100_20150317_000099	Aku akan mengembalikan ingatan dari rekan-rekan kita yang tertidur dengan Memory Fragment ini.
QUEST_LV_0100_20150317_000100	Akan lebih sulit untuk mengalahkannya tanpa Memory Fragment.{nl} tolong bawakan saya Infro Holder Horns.
QUEST_LV_0100_20150317_000101	Bagaimana bisa kamu memiliki semua bahan-bahan ini? 
QUEST_LV_0100_20150317_000102	Mereka adalah orang-orang yang sudah tidak ada di dunia ini.{nl} Mereka terus mengulangi apa yang terjadi di masa lalu karena dendam kepada Gaigalas.{nl}
QUEST_LV_0100_20150317_000103	Kita dapat menenangkan mereka, jika kita mengalahkan Gaigalas.{nl} Pergilah temui Worrying Owl.
QUEST_LV_0100_20150317_000104	Worrying Owl Sculpture
QUEST_LV_0100_20150317_000105	Tolong aku membangunkan rekanku yang tertidur dan melengkapi magic of the day. {nl}  Dengan menggunakan Memory Fragment.
QUEST_LV_0100_20150317_000106	Mereka telah terpuaskan.{nl}Aku akan tetap tinggal disini selagi mengingat rekan-rekanku.
QUEST_LV_0100_20150317_000107	Kamu akan menemukan Gaigalas bila kamu pergi ke Ishimtini Access Way.{nl} balaskan dendam para parajurit yang gugur.
QUEST_LV_0100_20150317_000108	Aku berada di tempat yang terisolasi sehingga aku tidak tertidur.{nl} Namun, melihat semuanya itu terjadi benar-benar menyakitkan bagiku.
QUEST_LV_0100_20150317_000109	Teman-temanku diserang saat mencoba membantu para prajurit.
QUEST_LV_0100_20150317_000110	Kesadaran Jonas mulai pulih setelah meminum obat
QUEST_LV_0100_20150317_000111	Archaeologist Dezic
QUEST_LV_0100_20150317_000112	Aku mencari asistenku namanya Airine.{nl} Bisakah kamu melawan semua monster yang mendekat sehingga aku bisa mencarinya?
QUEST_LV_0100_20150317_000113	Sudah kubilang kepadanya untuk jangan terlalu bersemangat bahkan jika ia menemukan sesuatu.{nl} Dan ia mengulanginya lagi.
QUEST_LV_0100_20150317_000114	Terima kasih.{nl} Aku akan pergi mencari Airine.
QUEST_LV_0100_20150317_000115	Technician Heinen
QUEST_LV_0100_20150317_000116	Cable car ini hanya bisa digunakan oleh mereka yang memiliki izin.{nl} Mohon maaf, tapi kembalilah ke Vienisa Highlands.{nl}
QUEST_LV_0100_20150317_000117	Tetapi jika kau bisa menghabisi monster yang mengganggu di sekitar sini, maka akan ku pertimbangkan
QUEST_LV_0100_20150317_000118	Bukankah lebih baik menggunakan cable car daripada terluka ketika melewati para monster?.{nl} Tentu saja, itu bisa dilakukan jika kamu bisa menaiki cable car ini.
QUEST_LV_0100_20150317_000119	Kemampuanmu lebih baik dari dugaanku.{nl} Aku ingin mengajukan suatu kesepakatan kepadamu.
QUEST_LV_0100_20150317_000120	Jika kamu menghancurkan barrier aneh di Alkune Stairway, maka akan kubiarkan kamu menggunakan cable car ini.{nl}Karena barrier itu membuat jumlah monster menjadi bertambah banyak.
QUEST_LV_0100_20150317_000121	Karena barrier telah dihancurkan, sesuai janjiku silahkan gunakan cable car ini sesukamu.{nl} Jika kamu meminta bantuan pada William yang ada di sebelahku, atau Cyneburg yang ada di seberang mereka akan membantumu.
QUEST_LV_0100_20150317_000122	Barrier itu… Hmm. sejak kapan itu dibuat?{nl}Sudah ada disana sejak lama, tapi aku lupa untuk pastinya kapan?
QUEST_LV_0100_20150317_000123	Aku yakin bertambahnya para monster akhir-akhir ini dikarenakan adanya barrier itu.{nl} 
QUEST_LV_0100_20150317_000124	Kami tidak memiliki cukup pasukan untuk menjaga daerah ini.{nl} Tidak akan ada orang yang ingin datang kesini di zaman sekarang ini.{nl}
QUEST_LV_0100_20150317_000125	Rolandas Jonas
QUEST_LV_0100_20150317_000126	Tidak ada yang tahu apa yang Great King Zachariel coba lindungi.{nl}Namun, aku yakin bukan hanya kita disini yang ingin mengungkapkan misteri ini.
QUEST_LV_0100_20150317_000127	Cepat, Lepaskan semua seal dengan menggunakan Great King's Key.{nl}Setelah itu Kamu akan mengetahui apa yang harus dilakukan selanjutnya.
