QUEST_LV_0200_20150317_000001	Philip's Soldiers
QUEST_LV_0200_20150317_000002	Serangan para monster menjadi lebih ganas. {nl} Aku bertekad untuk berhasil, tetapi Aku juga khawatir akan keselamatan kita.
QUEST_LV_0200_20150317_000003	Tidak masalah - Aku siap mengorbankan nyawa Aku hari ini, atau mati dihari esok.
QUEST_LV_0200_20150317_000004	Commander Vacenin
QUEST_LV_0200_20150317_000005	Entah bagaimana, kita harus mengatasi persediaan dan kekuatan kita yang mulai melemah. {nl} Setelah kita dapat menyelesaikan masalah tersebut, barulah kita bisa menerobos hutan sedikit demi sedikit.
QUEST_LV_0200_20150317_000006	Walau semuanya lelah, kita tidak boleh menyerah hingga Kateen Forest berhasil direbut kembali.
QUEST_LV_0200_20150317_000007	Senior Officer Philipas
QUEST_LV_0200_20150317_000008	Aku mendambakan dunia yang damai. {nl} Untuk mencapainya, aku harus bekerja lebih keras.
QUEST_LV_0200_20150317_000009	Aku akan melakukan apapun untuk merebut kembali hutan yang dikuasai para monster. {nl} Bahkan bila harus berkorban nyawa.
QUEST_LV_0200_20150317_000010	Pasukan terdepan kita terdiri dari Monk khusus yang dipimpin Philip. {nl} Mereka akan mematuhi perintah Philip apapun yang terjadi.
QUEST_LV_0200_20150317_000011	Hiduplah dengan anggapan bahwa setiap momen adalah saat-saat terkahir kita. {nl} Belajarlah dari masa lalu dan gunakan itu sebagai keunggulan kita.
QUEST_LV_0200_20150317_000012	Officer Felix
QUEST_LV_0200_20150317_000013	Entrance of Kateen Forest terletak di zona yang sedikit lebih aman, namun sebisa mungkin jangan memasukinya lebih dalam.
QUEST_LV_0200_20150317_000014	Weak Owl Sculpture
QUEST_LV_0200_20150317_000015	Kekuatanku perlahan melemah. {nl} Padahal di sana banyak jiwa-jiwa yang membutuhkan petunjuk...
QUEST_LV_0200_20150317_000016	Scared Owl Sculpture
QUEST_LV_0200_20150317_000017	Kekuatan suci dari hutan ini melemah. {nl} Apa yang akan terjadi kepada kita apabila kekuatan tersebut menghilang?!
QUEST_LV_0200_20150317_000018	Ini sangat menakutkan. {nl} Hal Ini tidak pernah terjadi saat Goddess masih ada…
QUEST_LV_0200_20150317_000019	Sincere Owl Sculpture
QUEST_LV_0200_20150317_000020	Hutan ini dikutuk... dan mengkonsumsi para Owl. {nl} Aku nyaris tidak dapat mengeluarkan semua keberanian dari yang lain.
QUEST_LV_0200_20150317_000021	Semenjak pohon besar itu tumbuh secara tiba-tiba, hutan ini telah berubah menjadi tempat yang sangat menakutkan dan angker. {nl} Bahkan akar pohon itu memberikan rasa takut kepada siapa pun yang melihatnya.
QUEST_LV_0200_20150317_000022	Devoted Owl Sculpture
QUEST_LV_0200_20150317_000023	Seseorang telah ditawan. {nl} Aku merasakan bahwa keberadaannya mulai menghilang...
QUEST_LV_0200_20150317_000024	Kekuatan suci yang diciptakan oleh Goddess belum sepenuhnya menghilang. {nl} Akankah kekuatan itu mampu menghentikan bencana ini? {nl}
QUEST_LV_0200_20150317_000025	Chief telah memberikan Aku kekuatan. {nl} Aku tidak akan takut.
QUEST_LV_0200_20150317_000026	Aku tidak akan takut lagi.{nl} Aku tak akan pernah dimangsa oleh para monster.
QUEST_LV_0200_20150317_000027	Painful Owl Sculpture
QUEST_LV_0200_20150317_000028	Aku menderita setiap harinya. {nl} Mungkin, nanti Aku juga akan dimangsa oleh para monster.
QUEST_LV_0200_20150317_000029	Hutan ini semakin dipenuhi dengan Demon. {nl} Dimanakah para Goddess?
QUEST_LV_0200_20150317_000030	Aku terpilih menjadi Chief... {nl} Aku akan berusaha sebaik mungkin untuk mengalahkan monster-monster.
QUEST_LV_0200_20150317_000031	Chief juga berjuang sampai seperti ini .. {nl} Jangan sampai Aku dimangsa sampai Goddess kembali.
QUEST_LV_0200_20150317_000032	Subordinate Owl 3
QUEST_LV_0200_20150317_000033	Kami selalu berada di tempat ini, tetapi dimanakah Goddess kami yang selalu mengkhawatirkan kami?
QUEST_LV_0200_20150317_000034	Apakah keberadaan kami hanya untuk jiwa manusia?
QUEST_LV_0200_20150317_000035	Soldier Dominic
QUEST_LV_0200_20150317_000036	Aku telah diperintahkan untuk melindungi tempat ini dengan mempertaruhkan nyawa Aku dan secara bersamaan melakukan beberapa pengintaian. {nl} Aku tidak mengetahui secara pasti apa yang mereka inginkan dariku.
QUEST_LV_0200_20150317_000037	Selanjutnya aku harus memastikannya apa yang sebenarnya sedang mereka inginkan dariku. {nl} tidakkah akan lebih baik jika bertanya kepada Julian?
QUEST_LV_0200_20150317_000038	Jika hanya monster dengan tingkat seperti itu, Aku rasa Aku bisa melaporkan bahwa tidak ada masalah yang serius. {nl} Oh, jika kamu bertemu dengan Samson, tolong katakan kepadanya untuk berhenti mengulur waktu dan terus melanjutkan pengintaian.
QUEST_LV_0200_20150317_000039	Aku akan melindungi area ini, untuk itu Aku akan berpatroli ke Veltui Crossroads. {nl} Untuk laporan, Aku akan membuatnya secara terpisah di lain waktu.
QUEST_LV_0200_20150317_000040	Soldier Samson
QUEST_LV_0200_20150317_000041	Bisakah Kamu membantu Aku untuk menemukan Dominic's Engagement Ring? {nl} Saat ini Aku sedang menjalankan sebuah misi, jadi tidak bisa meninggalkan tempat ini.
QUEST_LV_0200_20150317_000042	Aku akan memberitahumu, dia bersikap seperti itu meskipun aku telah membelikan yang benar-benar menyerupainya. Dasar pelit..
QUEST_LV_0200_20150317_000043	Benda jelek apa ini? Oh, mungkin cincinnya berada di dalamnya?
QUEST_LV_0200_20150317_000044	Pisau tidak akan muat masuk kedalam, dan tidak ada cara lain untuk mengeluarkannya. {nl} Oh benar juga! Bukankah kita bisa membakarnya hingga menjadi abu untuk mengambil apa yang ada di dalamnya?
QUEST_LV_0200_20150317_000045	Hanya memastikan untuk membawakannya kepadaku benda itu yang tidak terlalu tebal. 
QUEST_LV_0200_20150317_000046	Ini seharusnya bisa. {nl} Baiklah. Sekarang, bagaimana cara membakarnya agar ketika Aku bekerja, Aku tidak tertangkap?
QUEST_LV_0200_20150317_000047	Seharusnya ada banyak Dry Thorn Forest Wood di tepi Ishisineti Cliff. {nl} Aku sedang berpatroli dan tidak mempunyai banyak waktu, jadi aku memintamu untuk membantuku kembali.
QUEST_LV_0200_20150317_000048	Ah, Kamu seharusnya bisa membakarnya secara diam-diam di atas Ishisineti Cliff. {nl} Ini adalah permintaan terakhir Aku. Kamu hanya perlu membuat persiapan untuk membuat api.
QUEST_LV_0200_20150317_000049	Aku tidak akan pernah lagi peduli mengenai upacara pernikahan orang lain.
QUEST_LV_0200_20150317_000050	Aku hanya ingin memberitahu aku ingin pergi ke kamar mandi dan membakarnya secara diam-diam di sana. {nl} Terima kasih banyak.
QUEST_LV_0200_20150317_000051	Soldier Poulter
QUEST_LV_0200_20150317_000052	Oh Tuhan, Isi Perintah adalah untuk menghabisi seluruh monster yang berada di area ini! {nl} Bagaimana caranya Aku bisa menangani begitu banyaknya musuh sendirian?
QUEST_LV_0200_20150317_000053	Tugas ini terlalu berat untuk aku lakukan sendiri. {nl} Namun, Aku merasa beruntung karena dirimu telah memutuskan untuk membantuku.
QUEST_LV_0200_20150317_000054	Aku hampir menangis dan mengeluarkan air mata! {nl} Terima kasih banyak atas bantuanmu.
QUEST_LV_0200_20150317_000055	Commander Julian
QUEST_LV_0200_20150317_000056	Terima kasih telah membantu! {nl} Jika Kamu tidak keberatan, Aku ingin meminjam kekuatanmu kembali. {nl}
QUEST_LV_0200_20150317_000057	Maukah kamu membantu Pasukan Commander O'Rourke di Veltui Crossroads?
QUEST_LV_0200_20150317_000058	Commander O'Rourke
QUEST_LV_0200_20150317_000059	Sangat mengesankan.{nl}Sepertinya aku akan membelikan Julian minuman.
QUEST_LV_0200_20150317_000060	Hal ini terlitas di benakku ketika melihat Ironbaum. {nl} Akan menjadi rekan yang luar biasa seperti apakah nantinya
QUEST_LV_0200_20150317_000061	Pasukan O'Rourke sudah cukup kelelahan setelah melalui berbagai pertempuran melawan Ironbaum. {nl} Akan sangat membantu jika kamu bisa menjadi kekuatan kami.
QUEST_LV_0200_20150317_000062	Substitute Owl Sculpture
QUEST_LV_0200_20150317_000063	Aku ingin membantu memurnikan Thorny Forest, tapi aku sangat lemah. Bisakah kamu mengalahkan Tree Ghouls yang mengganggu para prajurit?
QUEST_LV_0200_20150317_000064	Akan lebih menyenangkan jika lebih banyak orang yang datang dan pergi menggunakan jalan ini seperti dahulu. {nl} Aku bertemu dengan orang-orang yang sangat menyenangkan.
QUEST_LV_0200_20150317_000065	Terima kasih. Semoga aku tidak memberikan kesulitan kepadamu dari semua aspirasi yang aku inginkan.
QUEST_LV_0200_20150317_000066	Baiklah. Kami belum menerima kabar apapun dari pasukan kami yang berada di Niurus Highway. {nl} Aku mohon kepadamu untuk menemui mereka.
QUEST_LV_0200_20150317_000067	Bila Kamu tidak menemukan mereka, kembalilah segera.
QUEST_LV_0200_20150317_000068	Soldier Kallus
QUEST_LV_0200_20150317_000069	Masih ada beberapa rekan-rekan kami yang berada di dalam sana. {nl} Tolong bantu kami.
QUEST_LV_0200_20150317_000070	Soldier Dainus
QUEST_LV_0200_20150317_000071	Ironbaum menyerang kami di Drieza Waterland.{nl} Masih banyak prajurit yang belum berhasil kabur dari sana.{nl}
QUEST_LV_0200_20150317_000072	Aku merasa malu karena melarikan diri.{nl}
QUEST_LV_0200_20150317_000073	Settled Owl Sculpture
QUEST_LV_0200_20150317_000074	Aku punya suatu permintaan kepadamu. {nl} Aku khawatir mengenai para prajurit yang menderita sakit karena Ravinelarvae.
QUEST_LV_0200_20150317_000075	Terima kasih.{nl} Mulai sekarang, dapatkah prajurit kita bisa bekerja dengan nyaman?
QUEST_LV_0200_20150317_000076	Aku sangat menghargai bantuanmu.{nl} Suatu hari nanti, Aku akan membalas budi ini saat bertemu denganmu.
QUEST_LV_0200_20150317_000077	Apakah kamu Savior yang terkenal itu? {nl} Oh Syukurlah, Aku sedang bingung saat ini, Aku membutuhkan bantuanmu.
QUEST_LV_0200_20150317_000078	Ah, sekarang Aku sudah menerima perintahnya.{nl} Kembalilah kepada Commander Julian.
QUEST_LV_0200_20150317_000079	Aku mengumpulkan informasi tentang Ironbaum. {nl} Untuk mencapai Gateway of the Great King, kita harus mengalahkan moster ini terlebih dahulu.
QUEST_LV_0200_20150317_000080	Terima kasih. {nl} Kembalilah setelah membawa perintah ini kepada Poulter di Zaizda Hill.
QUEST_LV_0200_20150317_000081	Mengingatkan Aku akan masa lalu.{nl} Ketika tidak ada Thorns.
