SKILL_20150317_000001	Attack
SKILL_20150317_000002	[Elite Kepa] 1 kali, Physical, Poison element, Strike
SKILL_20150317_000003	[Rafflesia] Spread Poison
SKILL_20150317_000004	[Rafflesia] Poison Bomb
SKILL_20150317_000005	[Raffly] Physical, Strike, Elemen Poison, Attack 1 kali
SKILL_20150317_000006	[Raffly] Physical, Strike, Elemen Poison, Jump Attack 1 kali
SKILL_20150317_000007	[Puragi] Physical, Strike, Elemen Poison, Normal attack 1 kali
SKILL_20150317_000008	[Puragi] Physical, Elemen Poison, Attack 1 kali
SKILL_20150317_000009	[Puragi] Physical, Elemen Poison, Stomp 1 kali
SKILL_20150317_000010	[Zigri] Normal Attack, Conical AoE
SKILL_20150317_000011	[Zigri] Spinning Strike
SKILL_20150317_000012	[Zigri] Jump and Somping Shock
SKILL_20150317_000013	[Fisherman] Physical, Strike, Elemen Ice, Strike dengan Fishing Rod
SKILL_20150317_000014	[Fisherman] Magic, Buff, Magic, Buff Skill
SKILL_20150317_000015	[Pokuborn] Physical, Pierce, Elemen Lightning, Horn Attack 1 kali
SKILL_20150317_000016	[Bushspider] Physical, Strike, Elemen Earth, Attack 1 kali
SKILL_20150317_000017	[Fragaras] Quick bite
SKILL_20150317_000018	[Fragaras] Large Chomp
SKILL_20150317_000019	[Fragaras] Normal Attack, Conical AoE
SKILL_20150317_000020	Basic Normal Attack
SKILL_20150317_000021	[Meduja] Magic, Magic, Elemen Lightning Attack 1 kali
SKILL_20150317_000022	[Gribaru] Physical, Slash, Elemen Lightning Attack 1 kali
SKILL_20150317_000023	[Gribaru] Physical, Slash, Knock-back  Elemen Lightning Attack 1 kali
SKILL_20150317_000024	[Bite] Physical, Pierce, Elemen Poison Attack 1 kali,
SKILL_20150317_000025	[Banshee] Magic, Magic, Elemen Ice, Breath Attack 1 kali
SKILL_20150317_000026	[Banshee] Magic, Magic, Elemen Ice, Ice Pike
SKILL_20150317_000027	[Mini Griba] Physical, Strike, Elemen Lightning, Two handed Strike 1 kali
SKILL_20150317_000028	[Big Griba] Physical, Strike, Elemen Lightning, Smash 1 kali
SKILL_20150317_000029	[Big Griba] Physical, Strike, Elemen Lightning, Spread poison 1 kali
SKILL_20150317_000030	[Big Griba] Physical, Strike, Elemen Lightning, Ground Smash 1 kali
SKILL_20150317_000031	[Haming] Physical, Strike, Elemen Lightning, Head Strike
SKILL_20150317_000032	[Haming] Physical, Strike, Elemen Lightning, Counter Skill
SKILL_20150317_000033	[Haming] Physical, Strike, Elemen Lightning, Jump dan rotating attack
SKILL_20150317_000034	[Truffle] Physical, Strike, Elemen Lightning, Body Slam
SKILL_20150317_000035	[Truffle] Physical, Strike, Elemen Lightning, Smash
SKILL_20150317_000036	[Truffle] Physical, Strike, Elemen Lightning, Body Slam
SKILL_20150317_000037	[Slime_Dark] Physical, Strike, Elemen Dark, Headbutt
SKILL_20150317_000038	[Slime_Dark] Physical, Strike, Elemen Dark, Attack 1 kali
SKILL_20150317_000039	[Kepa] Physical, Strike, Elemen Poison, Conical AoE
SKILL_20150317_000040	[Addicted Kepa] Normal Attack, Conical AoE
SKILL_20150317_000041	[Old Kepa] Physical, Strike, Elemen Earth, Fume Smoke
SKILL_20150317_000042	[Thornball] Physical, Pierce, Elemen Poison, Conical AoE
SKILL_20150317_000043	[Matsum] Physical, Strike, Elemen Fire, Conical AoE
SKILL_20150317_000044	[Sakmoli] Magic, Strike, Elemen Ice, Normal Attack 1 kali
SKILL_20150317_000045	[Sakmoli] Magic, Strike, Elemen Ice, Normal Attack 1 kali
SKILL_20150317_000046	[Jukopus] Physical, Strike, Elemen Earth, Body Slam
SKILL_20150317_000047	[Jukopus] Physical, Strike, Elemen Earth, Jump dan Body Slam
SKILL_20150317_000048	[Red Bushspider] Jump dan Smash
SKILL_20150317_000049	[Red Bushspider] Normal Attack, Conical AoE
SKILL_20150317_000050	[Baby Dionia] Normal Attack, Conical AoE
SKILL_20150317_000051	[Mini Griba] Physical, Strike, Elemen Poison, One Punch
SKILL_20150317_000052	[Mini Griba] Physical, Strike, Elemen Poison, One-two Punch
SKILL_20150317_000053	[Mini Griba] Physical, Strike, Elemen Poison, Two-hand Strike
SKILL_20150317_000054	[Griba] Physical, Strike, Attack Elemen Ice 1 kali
SKILL_20150317_000055	[Griba] Magic, Magic, Attack Elemen Ice 1 kali
SKILL_20150317_000056	[Old Kepa] Normal Attack, Conical AoE
SKILL_20150317_000057	[Tree Ghost] One-handed Strike
SKILL_20150317_000058	[Tree Ghost] Two-handed clap
SKILL_20150317_000059	[Tree Ghost] Stomp ground
SKILL_20150317_000060	[Cockatrice] Magic, Magic, Elemen Fire, Fume Fire 3 kali
SKILL_20150317_000061	[Zinute] Attack Physical Pierce Elemen Fire 1 kali
SKILL_20150317_000062	[Zinute] Attack Physical Slash Elemen Fire 1 kali
SKILL_20150317_000063	[Tontulia] Physical Strike Elemen Lightning Attack 1 kali
SKILL_20150317_000064	[Tontulia] Physical Hit Elemen Lightning Attack 2 kali
SKILL_20150317_000065	[Tontus] Physical Strike, Elemen Poison Attack 2 kali
SKILL_20150317_000066	[Tontus] Physical Pierce, Elemen Poison Attack 1 kali
SKILL_20150317_000067	[Tontus] Physical Strike, Elemen Poison Attack 1 kali
SKILL_20150317_000068	[Vekarabe] Physical, Pierce, Elemen Poison, Forward Pierce Attack
SKILL_20150317_000069	[Vekarabe] Physical, Pierce, Elemen Poison, Forward Upper Pierce Attack
SKILL_20150317_000070	[Geppetto] Physical Strike, Elemen Earth Attack 2 kali
SKILL_20150317_000071	[Geppetto] Physical Strike, Elemen Earth Attack 1 kali
