ETC_20150317_000001	케파
ETC_20150317_000002	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 
ETC_20150317_000003	대형 케파
ETC_20150317_000004	가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.
ETC_20150317_000005	붉은 케파
ETC_20150317_000006	보통 인식과 달리 붉은 케파가 더 원형 케파에 가깝습니다.
ETC_20150317_000007	중독된 케파
ETC_20150317_000008	몬스터
ETC_20150317_000009	하밍
ETC_20150317_000010	하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.
ETC_20150317_000011	치넨시
ETC_20150317_000012	보기와 달리 식물의 줄기가 변형된 몬스터입니다.
ETC_20150317_000013	변이 치넨시
ETC_20150317_000014	유코푸스
ETC_20150317_000015	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.
ETC_20150317_000016	푸른 유코푸스
ETC_20150317_000017	회색 유코푸스
ETC_20150317_000018	성숙도에 따라 다양한 기술로 공격해오는 몬스터입니다.
ETC_20150317_000019	포쿠본
ETC_20150317_000020	노란 포쿠본
ETC_20150317_000021	푸른 포쿠본
ETC_20150317_000022	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.
ETC_20150317_000023	초록 포쿠본
ETC_20150317_000024	몬스터화한 후에도 고기는 얻을 수 있다는 점이 장점입니다.
ETC_20150317_000025	푸른 포쿠부
ETC_20150317_000026	밴시
ETC_20150317_000027	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다.
ETC_20150317_000028	붉은 밴시
ETC_20150317_000029	사악한 망령
ETC_20150317_000030	여신의 인도를 받지 못한 영혼들이 마족의 지배를 받아 생겨납니다.
ETC_20150317_000031	대형 밴시
ETC_20150317_000032	벌통
ETC_20150317_000033	푸른 벌통
ETC_20150317_000034	회색 벌통
ETC_20150317_000035	붉은 벌통
ETC_20150317_000036	크루마보
ETC_20150317_000037	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.
ETC_20150317_000038	검은 크루마보
ETC_20150317_000039	붉은 크루마보
ETC_20150317_000040	하얀 크루마보
ETC_20150317_000041	노란 크루마보
ETC_20150317_000042	구역질나는 디오니아
ETC_20150317_000043	디오니아 포자
ETC_20150317_000044	푸른 프라가라스
ETC_20150317_000045	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.
ETC_20150317_000046	검은 프라가라스
ETC_20150317_000047	붉은 프라가라스
ETC_20150317_000048	부베 투사
ETC_20150317_000049	푸른 부베 투사
ETC_20150317_000050	붉은 부베 투사
ETC_20150317_000051	부베 투사가 성장하는 것인지 선천적으로 태어나는지 아직 밝혀지지 않았습니다.
ETC_20150317_000052	골렘
ETC_20150317_000053	회색 골렘
ETC_20150317_000054	미듀쟈
ETC_20150317_000055	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.
ETC_20150317_000056	푸른 미듀쟈
ETC_20150317_000057	초록 미듀쟈
ETC_20150317_000058	붉은 미듀쟈
ETC_20150317_000059	연구자들은 식물에게 영혼이 있고 그것이 변형된 것이 미듀자라고 합니다.
ETC_20150317_000060	미듀쟈 유충
ETC_20150317_000061	엘라가노스
ETC_20150317_000062	바이트
ETC_20150317_000063	어떤 사람들은 이들에게 물리느니 화살에 맞는 것이 낫다고 합니다.
ETC_20150317_000064	푸라기
ETC_20150317_000065	루클리스 내전 당시 마족들이 이들을 은밀히 투입하여 루클리스 병사들을 공격한 것은 역사의 감춰진 비밀입니다.
ETC_20150317_000066	푸른 푸라기
ETC_20150317_000067	푸라기 중에서도 이들은 특히 살생과 탈취를 좋아합니다.
ETC_20150317_000068	초록 푸라기
ETC_20150317_000069	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다
ETC_20150317_000070	붉은 푸라기
ETC_20150317_000071	대형 푸라기
ETC_20150317_000072	지그리
ETC_20150317_000073	갈색 지그리
ETC_20150317_000074	살육을 즐기는 마족의 졸개입니다.
ETC_20150317_000075	검은 지그리
ETC_20150317_000076	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다.
ETC_20150317_000077	붉은 지그리
ETC_20150317_000078	피셔맨
ETC_20150317_000079	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.
ETC_20150317_000080	푸른 피셔맨
ETC_20150317_000081	초록 피셔맨
ETC_20150317_000082	붉은 피셔맨
ETC_20150317_000083	피셔맨들의 행태는 설명되지 않는 부분이 많습니다.
ETC_20150317_000084	그리바루
ETC_20150317_000085	머리의 줄기는 탐지, 유인 등 여러 목적으로 사용됩니다.
ETC_20150317_000086	빅그리바루
ETC_20150317_000087	가시숲 그리바
ETC_20150317_000088	메슘
ETC_20150317_000089	메슘이 동식물 혹은 어떤 광물에서 기원한 몬스터인지는 중요하지 않습니다. 알아야 할 것은 그 위험성입니다.
ETC_20150317_000090	메슘마
ETC_20150317_000091	분신 미르티스
ETC_20150317_000092	몰렉
ETC_20150317_000093	미니 그리바
ETC_20150317_000094	초록 그리바
ETC_20150317_000095	붉은 그리바
ETC_20150317_000096	밝은 색이라 눈에 잘 보이기는 하지만, 그렇다고 피하기 쉽지는 않습니다.
ETC_20150317_000097	노란 그리바
ETC_20150317_000098	대형 붉은 그리바
ETC_20150317_000099	빅 그리바
ETC_20150317_000100	누군가 이 녀석을 품평한 말이 있습니다, 막기도 먹기도 어려운 몬스터.
ETC_20150317_000101	푸른 빅 그리바
ETC_20150317_000102	크고 강하고 질기지만 일부러 사냥하러 다니기에는 꺼림직한 몬스터입니다.
ETC_20150317_000103	초록 빅 그리바
ETC_20150317_000104	붉은 빅 그리바
ETC_20150317_000105	늙은케파
ETC_20150317_000106	케파가 꽃을 피우느라 폭삭 늙어버렸습니다. 매운 향이 한층 더 강해졌으니 주의.
ETC_20150317_000107	겔스바스 늙은케파
ETC_20150317_000108	검은 늙은케파
ETC_20150317_000109	붉은 늙은케파
ETC_20150317_000110	늙어 색이 변할 정도로 오래 생존한 케파는 그런 만큼 더 위험합니다.
ETC_20150317_000111	대형 늙은케파
ETC_20150317_000112	라플레시아
ETC_20150317_000113	초록 라플레시아
ETC_20150317_000114	검은 라플레시아
ETC_20150317_000115	이 식물의 잎은 가죽보다 강하다고 합니다.
ETC_20150317_000116	붉은 라플레시아
ETC_20150317_000117	라플리
ETC_20150317_000118	라플리 변이된 후에도 작은 곤충을 사냥합니다.
ETC_20150317_000119	푸른 라플리
ETC_20150317_000120	회색 라플리
ETC_20150317_000121	검은 라플리
ETC_20150317_000122	리디메드
ETC_20150317_000123	푸른 리디메드
ETC_20150317_000124	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다.
ETC_20150317_000125	검은 리디메드
ETC_20150317_000126	붉은 리디메드
ETC_20150317_000127	사크몰리
ETC_20150317_000128	다리를 공격한다고 쓰러지지 않습니다. 
ETC_20150317_000129	초록 사크몰리
ETC_20150317_000130	주홍 사크몰리
ETC_20150317_000131	검은 사크몰리
ETC_20150317_000132	리카우스
ETC_20150317_000133	초록 어패리션
ETC_20150317_000134	마족의 영향을 받은 유령은 이처럼 생김새가 달리지는 일이 많습니다.
ETC_20150317_000135	검은 어패리션
ETC_20150317_000136	스펙트라
ETC_20150317_000137	검은 스펙트라
ETC_20150317_000138	다른 먕령류의 몬스터와 달리 이들은 살았을 적에도 사악한 영혼인 경우가 많습니다.
ETC_20150317_000139	대형 스펙터
ETC_20150317_000140	현혹의 스펙터
ETC_20150317_000141	초록 리카우스
ETC_20150317_000142	스펙트론
ETC_20150317_000143	스펙터 군주
ETC_20150317_000144	던볼
ETC_20150317_000145	부유형 씨앗이 변이되면서 부유능력은 잃지 않고 솜털은 가시와 단단한 외피로 변형된 몬스터입니다.
ETC_20150317_000146	빅던볼
ETC_20150317_000147	우드스피릿
ETC_20150317_000148	푸른 우드스피릿
ETC_20150317_000149	초록 우드스피릿
ETC_20150317_000150	우드맨
ETC_20150317_000151	우드맨이 움직이지 못하는 점은 큰 축복이라 하겠습니다.
ETC_20150317_000152	푸른 우드맨
ETC_20150317_000153	회색 우드맨
ETC_20150317_000154	붉은 우드맨
ETC_20150317_000155	다크슬라임
ETC_20150317_000156	슬라임은 최종 형태는 비슷해도 원형이 되는 물질의 차이에 따라 다양한 종류가 생깁니다.
ETC_20150317_000157	러스라트
ETC_20150317_000158	자카리엘 왕릉을 시점으로 여러 유적에 배치되어 침입자를 처치하면서 도굴꾼들에게 얻은 별명입니다.
ETC_20150317_000159	메다키아
ETC_20150317_000160	궁정마법사들은 침입자가 단순 도굴꾼이 아닐 때를 대비해 메다키아를 만들었습니다.
ETC_20150317_000161	휠렌
ETC_20150317_000162	밀폐된 유적을 관리자없이 수호하기 위해 다양한 마법피조물이 만들어졌으며 휠렌도 그 한 종류입니다
ETC_20150317_000163	휠렌3
ETC_20150317_000164	마우로스
ETC_20150317_000165	왕릉석기병은 강하고 노련한 중무장 기사도 감당할 정도로 만들어진 마법피조물입니다.
ETC_20150317_000166	트리펠리
ETC_20150317_000167	원인은 모르나 인간을 극히 증오하는 몬스터이며 생존이나 먹이보다 인간을 공격하기 좋아합니다.
ETC_20150317_000168	트리펠리아
ETC_20150317_000169	브람블
ETC_20150317_000170	브람블의 분신
ETC_20150317_000171	윌로우
ETC_20150317_000172	윌로우나
ETC_20150317_000173	하나밍
ETC_20150317_000174	하나밍이 죽으며 떨어진 잎은 대개 급속히 시듭니다.
ETC_20150317_000175	츄파카브라
ETC_20150317_000176	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다.
ETC_20150317_000177	회색 츄파카브라
ETC_20150317_000178	대형 회색 츄파카브라
ETC_20150317_000179	츄파카브라는 은밀하게 움직입니다. 그리고 이 점은 엘리트 츄파카브라의 경우 인간에게 더욱 위험합니다. 
ETC_20150317_000180	노란 츄파카브라
ETC_20150317_000181	포포리온
ETC_20150317_000182	누군가에 의하면 포포리온의 고음은 유리병도 깨뜨릴 수 있다고 합니다.
ETC_20150317_000183	사우가
ETC_20150317_000184	사우가스
ETC_20150317_000185	스콜피온
ETC_20150317_000186	톤투리아
ETC_20150317_000187	톤투스가 활동력을 지니도록 변이한 몬스터입니다.
ETC_20150317_000188	톤투스
ETC_20150317_000189	선인장이 톤투스로 변이되면서 건조한 지역 거주자의 힘든 환경은 더욱 악화되었습니다. 
ETC_20150317_000190	베카라베
ETC_20150317_000191	베카라베는 다른 동물에 비하면 원형 그대로 몬스터화했습니다. 물론 공격성은 예외입니다.
ETC_20150317_000192	제페토
ETC_20150317_000193	이 몬스터의 명칭은 외양과는 어울리지만, 그 성질은 전혀 반영하지 않고 있습니다.
ETC_20150317_000194	부우크
ETC_20150317_000195	자카리엘이 남긴 왕릉의 수비시설 중의 하나입니다.
ETC_20150317_000196	베아카라스
ETC_20150317_000197	피노
ETC_20150317_000198	초기 발견자들은 제페토와 피노 사이에 유사성이 있다고 생각해 이런 이름을 붙였습니다.
ETC_20150317_000199	투구벌레
ETC_20150317_000200	단순히 크기와 공격성만 더 강화된 이런 몬스터는 차라리 안심이 됩니다.
ETC_20150317_000201	콜리플라워
ETC_20150317_000202	이 고정형 몬스터는 딱히 인간에게 적대적이진 않으나 모든 항온동물을 공격합니다.
ETC_20150317_000203	콜리플라워르
ETC_20150317_000204	비카라스
ETC_20150317_000205	기원은 왕릉의 시설물이지만 현재는 모든 생명체를 공격하는 오작동 상태입니다.
ETC_20150317_000206	코카트리스
ETC_20150317_000207	작은 크기의 코카트리스입니다. 물론 석화에 주의해야합니다.
ETC_20150317_000208	툼독
ETC_20150317_000209	지누테카스
ETC_20150317_000210	외양이 유사한 다른 몬스터와 혼동되기도 하지만, 이들은 인공적인 마법피조물입니다.
ETC_20150317_000211	포쿠부
ETC_20150317_000212	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다.
ETC_20150317_000213	회색 포쿠부
ETC_20150317_000214	지누테나
ETC_20150317_000215	라우지누테나
ETC_20150317_000216	단델
ETC_20150317_000217	단델의 솜털이 각질화한 것보다 무서운 것은 늘어난 활동력과 공격성입니다. 
ETC_20150317_000218	양초거미
ETC_20150317_000219	푸른 양초거미
ETC_20150317_000220	노란 양초거미
ETC_20150317_000221	시체꽃
ETC_20150317_000222	푸른 시체꽃
ETC_20150317_000223	초록 시체꽃
ETC_20150317_000224	날개 개구리
ETC_20150317_000225	개구리는 환경에 따라 다양한 형태로 몬스터화 되었는데 이 경우에는 날개를 지니도록 변형되었습니다.
ETC_20150317_000226	초록 날개 개구리
ETC_20150317_000227	회색 날개 개구리
ETC_20150317_000228	우산이끼
ETC_20150317_000229	우산이끼v2
ETC_20150317_000230	잎방개
ETC_20150317_000231	잎방개의 속은 비어있지 않습니다. 
ETC_20150317_000232	카타콤 잎방개
ETC_20150317_000233	킹 우산이끼
ETC_20150317_000234	불길한 킹 우산이끼
ETC_20150317_000235	살라미온
ETC_20150317_000236	살린디
ETC_20150317_000237	살룬
ETC_20150317_000238	묘지골렘
ETC_20150317_000239	본래는 좋은 의도로 만들어졌으나 지금은 악한 기운에 영향을 받아 움직이는 골렘입니다.
ETC_20150317_000240	드레이크
ETC_20150317_000241	탑의 공략을 위해 마족들이 마계에서 차출한 하위마족입니다. 
ETC_20150317_000242	초록 드레이크
ETC_20150317_000243	하급 마족으로 마계에는 이들이 수를 셀 수 없을 정도로 많고 종류도 다양하다고 합니다.
ETC_20150317_000244	검은 드레이크
ETC_20150317_000245	이들은 원래 희귀한 생물이었으나 근래 숫자가 늘어났습니다.
ETC_20150317_000246	빅 코카트리스
ETC_20150317_000247	대형 코카트리스입니다. 위험성, 특히 석화위험성은 아무리 강조해도 지나치지 않습니다.
ETC_20150317_000248	초록 코카트
ETC_20150317_000249	붉은 코카트
ETC_20150317_000250	세콰이아
ETC_20150317_000251	푸른 세콰이아
ETC_20150317_000252	코럽티드
ETC_20150317_000253	푸른 코럽티드
ETC_20150317_000254	누덕고치
ETC_20150317_000255	누덕고치는 더 이상 발생하지는 않지만, 현재 개체수만으로도 멸종을 걱정할 필요가 없는 몬스터입니다. 
ETC_20150317_000256	누덕고치트
ETC_20150317_000257	세콰이아의 불길
ETC_20150317_000258	본체에서 오랜 시간 멀어지면 자연히 소멸됩니다.
ETC_20150317_000259	누덕 갈고리
ETC_20150317_000260	큰 몬스터에게 갈고리를 사용하여 붙어서 마계로부터 넘어온 후 많은 변화를 한 몬스터입니다. 
ETC_20150317_000261	몽당 나무
ETC_20150317_000262	벌목이 줄었어도 그루터기에서 기인한 이 몬스터는 계속 생깁니다. 수목형 몬스터의 잔재에서 생성이 목격됩니다. 
ETC_20150317_000263	카타콤 묘지골렘
ETC_20150317_000264	뿌리두더쥐
ETC_20150317_000265	포이밍
ETC_20150317_000266	나무뿌리 두더지
ETC_20150317_000267	미르티스의 눈
ETC_20150317_000268	대형 미르티스의 눈
ETC_20150317_000269	돌
ETC_20150317_000270	부베 박멸용 폭탄
ETC_20150317_000271	시한폭탄 (스코어던전 전용)
ETC_20150317_000272	시한폭탄
ETC_20150317_000273	OBB돌
ETC_20150317_000274	남자 마법사
ETC_20150317_000275	여자 마법사
ETC_20150317_000276	파손된 봉인
