QUEST_20150317_000001	Please select the user requiring a quest update.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150317_000002	Statue of Goddess Vakarine	여신 바카리네의 상				
QUEST_20150317_000003	Please select a territory.	지역을 선택해주세요.				여신 바카리네의 상
QUEST_20150317_000004	Select	선택				
QUEST_20150317_000005	Please select an item.	아이템을 선택해주세요.				
QUEST_20150317_000006	Select Group	그룹 선택				
QUEST_20150317_000007	Please select a cheat start group.	치트 스타트 그룹을 선택하세요.				그룹 선택
QUEST_20150317_000008	Select Zone	존 선택				Basic
QUEST_20150317_000009	Please select a starting zone.	시작할 존을 선택하세요.				존 선택
QUEST_20150317_000010	Select Advancement	전직 선택				
QUEST_20150317_000011	Please select a class.	원하시는 직업을 선택하세요.				전직 선택
QUEST_20150317_000012	Bokor Master	보코르 마스터				
QUEST_20150317_000013	So you are curious about this stone slate. {nl}If you wish, I shall show you the will of its creator.	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.				보코르 마스터
QUEST_20150317_000014	Goddess Laima	여신 라이마				
QUEST_20150317_000015	By the time you get this message, much time will have passed. {nl}I am Laima, the goddess of fate and wisdom.	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}				수정광산의 계시
QUEST_20150317_000016	600 years ago while creating this revelation, I foresaw a great deal of death and suffering. {nl}If you are seeing this, then I am afraid what I foresaw has come to pass.	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}				수정광산의 계시
QUEST_20150317_000017	The demons have started the first of the cataclysms, and the goddesses have vanished. {nl}I knew all of this would occur and did everything I could to prevent this fate, but my power was not enough.	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}				수정광산의 계시
QUEST_20150317_000018	Instead, I wandered through far-seeing dreams for an answer. {nl}You were at the end of them... a Savior.	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}				여신 라이마
QUEST_20150317_000019	Unfortunately, the demons could not stay still, knowing that I possess strength in clairvoyance. {nl}I was forced to hide until the time of your appearance.	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}				수정광산의 계시
QUEST_20150317_000020	I decided to divide my being and remain within many revelations. {nl} Revelations that I continued to create secretly over a millennium.	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}				수정광산의 계시
QUEST_20150317_000021	Savior, if you can help me regain my form, we can stop the demons' sinister plans.{nl}You must recover the revelations that I have hidden throughout every axis of time.	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.				여신 라이마
QUEST_20150317_000022	This divine task may be a heavy burden, but it is something you must bear. {nl}Perhaps in the muddy midst of your trials and tribulations, something may come about.	그대에게 지워진 신성한 사명의 무게가 어깨를 짓누르겠지요.{nl}어쩌면 수 많은 시련과 고난의 진흙탕 속을 뒹굴게 될지도 모릅니다.{nl}				수정광산의 계시
QUEST_20150317_000023	Nevertheless, only we can save this world.	하지만 당신만이 저와 이 세계를 구할 수 있어요.{nl}				여신 라이마
QUEST_20150317_000024	I have passed the next revelation to the first Paladin. {nl}He will be waiting for you at the highest flower garden.	다음 계시는 초대 팔라딘에게 맡겨 두었습니다.{nl}가장 드높은 화원에서 당신을 기다리겠습니다.				여신 라이마
QUEST_20150317_000025	The dark aura is indeed unpleasant... {nl}But if this message is truly from the Goddess Laima, then I am simply in awe.	사악한 힘이나 의지는 전혀 느껴지지 않는군요.{nl}그렇다면 이 계시가 진짜 라이마 여신의.. 그저 놀랍습니다.				보코르 마스터
QUEST_20150317_000026	Well, you should hurry and go find Sir Uska. {nl}He will tell you where to go next. {nl}May the goddess bless your fate...	자, 어서 우스카님께 돌아가세요.{nl}그분이라면 당신이 어디로 가야 할지를 알려줄 겁니다.{nl}당신의 앞날에 여신의 축복이 깃들기를..				보코르 마스터
QUEST_20150317_000027	Please select the preferred Smart Gen.	원하는 스마트젠을 선택하세요.				선택
QUEST_20150317_000028	William	윌리엄				
QUEST_20150317_000029	The fee's 100 silver. {nl}It's cheaper than cutting through monster central.	이용 요금은 100실버입니다.{nl}몬스터 한복판을 헤쳐가느니 차라리 이게 싸죠.				
QUEST_20150317_000030	Cyneburg	캔버그				
QUEST_20150317_000031	That'll be 100 silver coins. {nl}That'll cover operations, labor, and other expenses.	이용 요금은 100실버입니다.{nl}운영비, 인건비 등 여러 가지가 포함된 금액이지요.				
QUEST_20150317_000032	Hey, wait a minute. {nl}You know you need more than that...	공짜로는 좀.. 죄송합니다.{nl}아실만한 분이 더 그러시면..				
QUEST_20150317_000033	That's no good! {nl}I can't work for nothing, even for a Revelator.	공짜로는 안된다니까요. {nl}아무리 계시자님이라도 되는 게 있고 안 되는 게 있는 법이지요.				
QUEST_20150317_000034	Wandering Merchant	방랑 상인				
