QUEST_LV_0400_20161005_000001	Kedoran Alliance Merchant Alta
QUEST_LV_0400_20161005_000002	I came here since I was worried, but I won't dare to go in there by myself.{nl}That's why I am asking you.
QUEST_LV_0400_20161005_000003	I can't just wonder into places like that you know.{nl}There are monsters just sitting there...
QUEST_LV_0400_20161005_000004	There's rumors of the Alembique Legend among the refugees.{nl}I wanted to know the truth.
QUEST_LV_0400_20161005_000005	{nl}There might be products that the Alliance is looking for...{nl}Since you were going to explore the cave anyways, it's like hitting two Popolions with one stone.
QUEST_LV_0400_20161005_000006	{nl}I'll give you this book as payment.{nl}It'll be better than going in blind will it not?
QUEST_LV_0400_20161005_000007	Priest Lintas is correcting the contents of the monument.{nl}The process is taking some time.
QUEST_LV_0400_20161005_000008	Thanks to you, the monument has been corrected.{nl}We need to check up on the status of Priest Kidas and Brunas.
QUEST_LV_0400_20161005_000009	Even with the help, a flechette is nowhere to be found.{nl}I should go back to my master after sorting things out a bit in here.
QUEST_LV_0400_20161005_000010	Aquilas
QUEST_LV_0400_20161005_000011	I came here to learn archery but am just running errands finding that blasted arrow...{nl}If I knew that I had to look for arrows. I would not have started this journey...{nl}
QUEST_LV_0400_20161005_000012	I mean, this is all because of Lydia Schaffen.{nl}She should have taken her Flechette or whatever if she had used it to kill Ghibulinas!
QUEST_LV_0400_20161005_000013	{nl}Who cares if she is a legendary person.{nl}She doesn't know how to look after her things.
QUEST_LV_0400_20161005_000014	{nl}I can't understand my master.{nl}I don't know how I can be forgiven if I find that Flechette or whatever.
QUEST_LV_0400_20161005_000015	{nl}Even if I do somehow agree that it is important... I don't get how reporting on the vegetation is supposed to be important.{nl}Ugh... Not my kind of work.
QUEST_LV_0400_20161005_000016	I'd be really grateful if you'd offer any type of help.{nl}First of all, could you get me some Poppy Bracken, Aily Grass and Pria Flowers.
QUEST_LV_0400_20161005_000017	{nl}What do they have to do with the legendary arrow?{nl}I have no idea either.
QUEST_LV_0400_20161005_000018	Stupid Flechette or whatever it's called...
QUEST_LV_0400_20161005_000019	Mechen
QUEST_LV_0400_20161005_000020	I thought that Aquilas had come to report...{nl}This place is dangerous due to all of the monsters and demons.
QUEST_LV_0400_20161005_000021	{nl}How about leaving if you don't have any important business.
QUEST_LV_0400_20161005_000022	{nl}Oh?{nl}Ah, you're a Revelator.
QUEST_LV_0400_20161005_000023	{nl}It seems as if you are curious as to what my apprentices and I are doing here.{nl}Have you heard anything from Aquilas?
QUEST_LV_0400_20161005_000024	{nl}Oh, I am a member of the Astral Tower and sibling to the former leader.{nl}I made a big mistake while Ignas was trying to take control of the Astral Tower.
QUEST_LV_0400_20161005_000025	{nl}Ignas didn't miss out on the opportunity and took over the Astral Tower.{nl}Of course, the rest of the members don't look upon me so kindly.
QUEST_LV_0400_20161005_000026	{nl}No matter how I tell them that it was a mistake, they refuse to listen.
QUEST_LV_0400_20161005_000027	{nl}That's why I have decided to try and find Lydia Schaffen's Flechette to try and undo my wrongdoings.
QUEST_LV_0400_20161005_000028	{nl}They'll at least pretend to listen if I bring back the Flechette.{nl}I've come to this place as I am almost certain that her Flechette must be in Ghibulinas Forest.
QUEST_LV_0400_20161005_000029	{nl}My apprentices and I have been trying to look for the Flechette but there's been no progress.
QUEST_LV_0400_20161005_000030	I see you've gathered it all.{nl}Thanks.
QUEST_LV_0400_20161005_000031	{nl}Go to the camp and ask my master if you're wondering why we had to do this.
QUEST_LV_0400_20161005_000032	{nl}Well, I'd better start looking at these unremarkable things to find something different.
QUEST_LV_0400_20161005_000033	Hmm... I thank you for your eagerness, but this place is much too dangerous with all of the demons roaming around. {nl}I would appreciate it if you would simply ask my apprentices how they are doing.
QUEST_LV_0400_20161005_000034	{nl}Woognis is at the Vilkas Nest, Jenonhas is at Kainen Crossing.
QUEST_LV_0400_20161005_000035	Whoa, you scared me! Who are you?
QUEST_LV_0400_20161005_000036	{nl}The current situation?{nl}I haven't even gone anywhere near the area since I'm too afraid.
QUEST_LV_0400_20161005_000037	{nl}That over there is the Vilkas nest, but how am I supposed to get in there.{nl}I don't know, maybe I'll be able to get there if I cover myself with Vilkas fur...
QUEST_LV_0400_20161005_000038	We'll be put in danger if we go and fight Vilkas near their nest.{nl}There are a lot of Vilkas at Kyrba Lot as well.
QUEST_LV_0400_20161005_000039	{nl}Why don't we try gathering Vilkas fur over there.
QUEST_LV_0400_20161005_000040	There's a lot of Vilkas at Kyrba Lot, so it should be easy enough to get their fur there.
QUEST_LV_0400_20161005_000041	I think we'll be able to fool them into thinking we're one of their friends with this amount of fur.
QUEST_LV_0400_20161005_000042	I'm thinking of going to search their nest with this fur all over me.{nl}It's quite large so I don't know how long it will take but...
QUEST_LV_0400_20161005_000043	There's no reason for me to decline your offer of help.{nl}Let's go.
QUEST_LV_0400_20161005_000044	There doesn't seem to be a Flechette where I checked.{nl}Did you find anything?
QUEST_LV_0400_20161005_000045	{nl}Ah yes...{nl}Nothing...
QUEST_LV_0400_20161005_000046	So my search has resulted in nothing.{nl}You said that you were gathering reports?
QUEST_LV_0400_20161005_000047	{nl}There are two other apprentices.{nl}One is Aquilas and the other is Jenonhas.
QUEST_LV_0400_20161005_000048	{nl}Aquilas is on the road to Phamer Forest and Jenonhas is at Kainen Crossing.{nl}You said that you've already met Aquilas, so try looking for Jenonhas.
QUEST_LV_0400_20161005_000049	I'll return after wrapping things up here.
QUEST_LV_0400_20161005_000050	Jenonhas
QUEST_LV_0400_20161005_000051	Thank you so much.{nl}I wouldn't have made it if you hadn't come here.
QUEST_LV_0400_20161005_000052	Yes, that is correct.{nl}I am looking for the Flechette.
QUEST_LV_0400_20161005_000053	{nl}If it was something that could have been found so easily, people would have already taken it, don't you think?{nl}This is pointless.
QUEST_LV_0400_20161005_000054	{nl}There are even demons here.{nl}I can't understand my orders this time round.
QUEST_LV_0400_20161005_000055	{nl}I'm going to have to talk about this later.
QUEST_LV_0400_20161005_000056	Everyone is exhausted since they're searching for an arrow that seems to be non-existant.{nl}Especially where there are so many demons roaming around...
QUEST_LV_0400_20161005_000057	{nl}It's all because I am not skilled enough.
QUEST_LV_0400_20161005_000058	The first Fletcher Master crafted the Flechette for Lydia Schaffen.{nl}Of course I thought about asking the Fletcher Master.
QUEST_LV_0400_20161005_000059	{nl}But the Fletcher Master and the other members of the Astral Tower... They won't talk to me because they think I am a traitor.{nl}That's why I am not even thinking about it.
QUEST_LV_0400_20161005_000060	Of course I would appreciate the help but...{nl}I'm sure that it won't make a difference.
QUEST_LV_0400_20161005_000061	{nl}Don't be too disappointed though.{nl}The Fletcher Master is at the Goddess' Ancient Garden.
QUEST_LV_0400_20161005_000062	Fletcher Master
QUEST_LV_0400_20161005_000063	You said that Mechen asked you to find the Flechette?{nl}You still came to me knowing what kind of person he is correct?
QUEST_LV_0400_20161005_000064	{nl}Of course I might think of helping him if he agrees to return the Flechette after finding it.{nl}However, he'll show his true colors as soon as we find the Flechette.
QUEST_LV_0400_20161005_000065	If you say that, I'll agree to help.
QUEST_LV_0400_20161005_000066	{nl}This is a recipe for detecting the Flechette.{nl}Take this to Mechen.
QUEST_LV_0400_20161005_000067	The Goddess' Ancient Garden...{nl}It will be a long trip.
QUEST_LV_0400_20161005_000068	He gave you a recipe that will allow us to craft equipment that will help us detect the Flechette?
QUEST_LV_0400_20161005_000069	{nl}How did he decide to help us?
QUEST_LV_0400_20161005_000070	{nl}Ah... 
QUEST_LV_0400_20161005_000071	{nl}I see.{nl}He agreed to help us under the condition of having my life if I do not give the Flechette.
QUEST_LV_0400_20161005_000072	{nl}I don't think that will be necessary.{nl}I'll take a look at this recipe then...
QUEST_LV_0400_20161005_000073	Mechen is the person who allowed the previous leader for the Astral Tower, his brother, to be taken down.
QUEST_LV_0400_20161005_000074	{nl}How can I trust such a person.
QUEST_LV_0400_20161005_000075	The Flechette is said to be crafted from the divine energy of the Goddess.{nl}It says that we have to get the energy of a powerful demon since it will react to their energy.
QUEST_LV_0400_20161005_000076	I'm worried that he might make us go and find capture a demon.
QUEST_LV_0400_20161005_000077	You've collected a lot.{nl}Now what we need is...
QUEST_LV_0400_20161005_000078	The recipe says that we need Vilkas essence in order to control the demon's energy.
QUEST_LV_0400_20161005_000079	My apprentices have gone to different locations to gather Vilkas essence.{nl}Could you please go to Kyrba Lot?
QUEST_LV_0400_20161005_000080	All you have to do is gather Vilkas essence from Kyrba Lot.
QUEST_LV_0400_20161005_000081	We have gathered all of the materials needed to create the detector.{nl}I'll start crafting it then.
QUEST_LV_0400_20161005_000082	I've finished crafting the detector.{nl}I'm going to give it to my apprentices to try and find the Flechette.
QUEST_LV_0400_20161005_000083	{nl}I guess it will make it easier to find the Flechette.
QUEST_LV_0400_20161005_000084	If you wish to participate in finding the Flechette, please start at Taylie Lot.{nl}The other places will be covered by my apprentices.
QUEST_LV_0400_20161005_000085	{nl}Try using the detector at Taylie Lot at places you think the Flechette might be.{nl}It will react if the Flechette is nearby.
QUEST_LV_0400_20161005_000086	Go to Taylie Lot and look for the Flechette.
QUEST_LV_0400_20161005_000087	Ah, have you found the Flechette?{nl}It feels a bit abrupt after all that fruitless time we spent searching for it...
QUEST_LV_0400_20161005_000088	{nl}Of course, none of us are Revelators...{nl}Good job.
QUEST_LV_0400_20161005_000089	{nl}Now it's time to take the Flechette to the Fletcher Master.
QUEST_LV_0400_20161005_000090	Please be careful.{nl}I wish that this would help resolve the misunderstanding between us.
QUEST_LV_0400_20161005_000091	This... it is the Flechette that was created by my elders.{nl}I didn't think that Mechen would give it this easily.
QUEST_LV_0400_20161005_000092	{nl}Hmm...{nl}Take this.{nl}Tell him that this is a sort of reward for finding me the Flechette.
QUEST_LV_0400_20161005_000093	{nl}I don't know how much good it will do for his honor...{nl}But people will at least know how much he went through to find the Flechette.
QUEST_LV_0400_20161005_000094	A promise is a promise, so I'll hand it over.
QUEST_LV_0400_20161005_000095	This... it's an Arrow of Proof crafted by the Fletcher Master...{nl}I hope people will listen to me a bit more if I have this.
QUEST_LV_0400_20161005_000096	This will help Mechen recover some of his honor.
QUEST_LV_0400_20161005_000097	Hello there.
