QUEST_LV_0100_20150317_000001	Sentinel	경계병
QUEST_LV_0100_20150317_000002	If you choose to go to Klaipeda, I recommend taking the Shadow Forest Road.{nl}The deep woods are dangerous, so try to stay away from there if you can.	클라페다로 가려면 곧장 그늘 숲 가도로 가는 게 좋습니다.{nl}숲의 깊은 곳은 위험하니 왠만하면 자제하시고요.
QUEST_LV_0100_20150317_000003	Man in Hiding	숨어있는 남자
QUEST_LV_0100_20150317_000004	F-Finally...! Has help arrived?{nl}Huh?! It's just a kid? Hey... Are there still Vubbes outside?	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 이봐. 밖에 아직도 부베가 있나?
QUEST_LV_0100_20150317_000005	Ugh. Go away! Don't talk to me! We'll get caught by the Vubbes!{nl}This is my place so leave!	으윽.. 저리 가! 말 걸지 마! 부베한테 들킨단 말이야!{nl}여긴 내 자리니까 썩 꺼져!
QUEST_LV_0100_20150317_000006	What? Don't lie to me! I can smell the Vubbes from here.{nl}You can't fool an adult! Go away! Do not come near this barrel!	뭐? 거짓말하지 마! 부베놈들 악취가 아직도 코를 찌르는구먼. 무슨!!{nl}어른을 놀리면 못써! 저리 가! 이 나무통 근처로 얼씬도 하지 마!
QUEST_LV_0100_20150317_000007	F-Finally...! Has help arrived?{nl}Huh?! It's just a kid? What are you looking at? Close the lid and move along!{nl}	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 뭘 봐? 그냥 뚜껑 닫고 갈 길 가버려!{nl}
QUEST_LV_0100_20150317_000008	What's that paper you're holding? It looks familiar...{nl}Let me see that! What are you doing? Hey, there's an adult speaking to you!	그런데 네가 들고 있는 그 종이.. 글귀가 어째 낯이 익은데? {nl}이리 줘봐! 뭐해? 어른이 말씀하시는데 냉큼 내놓지 않고!
QUEST_LV_0100_20150317_000009	This paper, it's mine! I'm never giving it away again!!{nl}It's... not something you need - I'll just rip it apart. There.	이건!! 내 것이잖아?! 다시 못 줘!! {nl}너한텐 절대로 필요 없는 거니까, 다 찢어버릴 거야!!
QUEST_LV_0100_20150317_000010	Sheesh, that's lame...	쳇, 싱겁긴..
QUEST_LV_0100_20150317_000011	After all the goddesses had vanished, these dreams were one of the first things that came up.{nl}Maybe one of these people will be the one who brings the goddesses back.	여신들께서 전부 사라지시고 난 뒤에 처음으로 나타난 징후 아닙니까.{nl}어쩌면 그 많은 사람중에 누군가가 여신을 돌아오게 할지도 모르잖습니까?
QUEST_LV_0100_20150317_000012	Soldier Blak	병사 블락
QUEST_LV_0100_20150317_000013	Be warned!{nl}Monsters are attacking, so all civilians must evacuate!{nl}Why are those civilians in the military zone anyway?{nl}	경고합니다! {nl}몬스터가 습격 중이니 민간인은 빨리 도망치세요!  {nl}아니, 근데 왜 군사 지역에 민간인이 들어온 거죠?{nl}
QUEST_LV_0100_20150317_000014	Ah, so you are the Revelator! I'm sorry, I didn't recognize you.{nl}Monsters are attacking the supply base at the moment.{nl}I need to get some important rations out from the base. Please help me!	아, 계시자님! 몰라 봬서 정말 죄송합니다.{nl}지금 보급기지 전체를 몬스터가 습격 중입니다.{nl}일단 중요한 식량만이라도 어떻게 빼 오고 싶은데.. 제발 도와주십시오!
QUEST_LV_0100_20150317_000015	It was peaceful not too long ago, but now they are coming in groups.{nl}What's happening exactly?	얼마 전까진 잠잠했는데 갑자기 대규모로 몰려들고 있습니다.{nl}대체 무슨 일일까요?
QUEST_LV_0100_20150317_000016	Even so, I felt uneasy...{nl}Who knew that they'd attack in such an absurd manner?	안 그래도 불안 불안했는데..{nl}저렇게 말도 안 되는 게 덮칠 줄은 누가 알았겠습니까?
