QUEST_LV_0100_20150317_000001	Sentinel
QUEST_LV_0100_20150317_000002	You better go straight to the Shadow Forest Road if you want to go to Klaipeda. {nl} It is dangerous in the deep woods so try to stay away if you can. 
QUEST_LV_0100_20150317_000003	Man in hiding
QUEST_LV_0100_20150317_000004	Fi... Finally! Have the rescue arrived? {nl} What! It's just a kid? Hey, are Vubbes still outside?
QUEST_LV_0100_20150317_000005	Ughh ... Go away! Do not talk to me! We're going to get caught by the Vubbes! {nl} This is my place so get out of here!
QUEST_LV_0100_20150317_000006	What? Do not lie to me! Vubbe's odor is stinging my nose. What!! {nl} Hey, you don't fool adults! Go away! Do not come around near this barrel!
QUEST_LV_0100_20150317_000007	Fi... Finally! Have the rescue arrived? {nl} What! It's just a kid? What are you looking at? Close the lid and just go on your way! {nl}
QUEST_LV_0100_20150317_000008	But the paper you're holding.. It looks familiar? {nl} Let me see that! What are you doing? There's an adult speaking to you!
QUEST_LV_0100_20150317_000009	This!! It's mine?! I will never give it again!! {nl} It's not something you need, I'm gonna rip it apart!
QUEST_LV_0100_20150317_000010	Sheesh, that's lame..
QUEST_LV_0100_20150317_000011	This is the first sign after all goddesses have dissappeared.{nl}Maybe, out of all those people, one person may bring the goddesses back.
QUEST_LV_0100_20150317_000012	Soldier Blag
QUEST_LV_0100_20150317_000013	I warn you! {nl}Mosters are attacking so all citizens run way! {nl}By the way, how come those citizens are in the military zone?{nl}
QUEST_LV_0100_20150317_000014	Ah, so you are the revelator! I am sorry that I didn't recognize you.{nl}Monsters are attacking the supply base at the moment.{nl}I want to take some important rations out from the base.. Please help me! 
QUEST_LV_0100_20150317_000015	It was silent not too long ago, but now they are coming in mass.{nl}What is happening?
QUEST_LV_0100_20150317_000016	I felt unsafe..{nl}But, I didn't expect that they will come in mass.
QUEST_LV_0100_20150317_000017	There is the 1st supply warehouse when you go straight up the road.{nl}Please take out some remaining supplies..Damn..
QUEST_LV_0100_20150317_000018	In case you may need it in the future, I wrote down who Sparnas is.{nl}You may not know, but I was a biologist 4 years ago. 
QUEST_LV_0100_20150317_000019	Please pass this report to Luders. {nl}He is probably at the central supply base.
QUEST_LV_0100_20150317_000020	Officer Luders
QUEST_LV_0100_20150317_000021	Ah, you must be the rumored revelator. Nice to meet you.{nl}Is this Blag's report?{nl}
QUEST_LV_0100_20150317_000022	Hmm.. Is that so.{nl}They just destroyed the supplies and ran away.  Even if Chupacabras have wings, I am sure that they can't do something like this.{nl} 
QUEST_LV_0100_20150317_000023	It is little less.{nl}I am sorry, but please bring us the Moody's report at the crooked roat at Amzina.
QUEST_LV_0100_20150317_000024	I feel safe since Luders is here.
QUEST_LV_0100_20150317_000025	Soldier York
QUEST_LV_0100_20150317_000026	Siaulambs are breaking the norms.{nl}I am in panic myself, so I don't know what to do.{nl}Luders will not stand this.. What should we do?
QUEST_LV_0100_20150317_000027	Do you think the problem would be resolved by just defeating Sparnas?
QUEST_LV_0100_20150317_000028	Due to you help, I think I can get myself together.{nl}But.. this kind of thing will happen again right? Then What should I do..
QUEST_LV_0100_20150317_000029	Sparnas? We don't have an answer for that.{nl}It just appears from the sky without any signs, destroys all supplies and just dissappears.{nl}I get a headache by just listening to it's cries.
QUEST_LV_0100_20150317_000030	The place I just told you is the 2nd supply warehouse. {nl}It is depressing to think about that these kind of things will be recurring in the fututre
QUEST_LV_0100_20150317_000031	Take it. I made a bait from the old grains from the supplies.{nl}I will lure the guy up there so you stand still here.{nl}Sparnas will definitely appear at the one of these two places. Do not miss it and destroy it for sure.{nl} 
QUEST_LV_0100_20150317_000032	We may not get a second chance if we don't defeat it this time.{nl}They are not idiots.
QUEST_LV_0100_20150317_000033	I heard the sound of fighting so I came here in a hurry..Have you defeated it?{nl}I only spotted Siaulambs.{nl}Well done. You have performed a meritorious deed.  
QUEST_LV_0100_20150317_000034	Adjutant Paulina
QUEST_LV_0100_20150317_000035	We should get back the stolen stuffs.{nl}We shouldn't call ourself soldiers if we just do nothing.{nl} 
QUEST_LV_0100_20150317_000036	We should get back the stolen stuffs.{nl}We shouldn't call ourself soldiers if we just do nothing.{nl} 
QUEST_LV_0100_20150317_000037	I feel so upset to endure all the time.{nl}Reinforcement should come soon.  What can we expect from imcompetent kingdom?
QUEST_LV_0100_20150317_000038	Adjutant Volda
QUEST_LV_0100_20150317_000039	You must be busy for other things so thank you so much.{nl}We can't just endure all the time. We plan to keep attack.
QUEST_LV_0100_20150317_000040	Secret Guardian
QUEST_LV_0100_20150317_000041	The goddess already forecasted this.{nl}All beings can not escape from forecasting.
QUEST_LV_0100_20150317_000042	Liaison Officer Niels
QUEST_LV_0100_20150317_000043	Hello.{nl}Have you seen an oldman who lost his way?{nl}His name is Jonas.{nl}
