QUEST_LV_0200_20150317_000001	$Philipas' Soldier
QUEST_LV_0200_20150317_000002	$The monsters' attacks are becoming more violent. {nl} I'm determined to succeed, but I also fear for our safety.
QUEST_LV_0200_20150317_000003	{memo X}$It doesn't matter - I can give up my life today, or be a dead man tomorrow.
QUEST_LV_0200_20150317_000004	$Commander Vacenin
QUEST_LV_0200_20150317_000005	$Somehow, we need to resolve our poor supplies and forces. {nl}Once we accomplish that we will be able to break through the forest, piece by piece.
QUEST_LV_0200_20150317_000006	$Even though everyone's getting tired, we can't give up until Kateen Forest is ours again.
QUEST_LV_0200_20150317_000007	$Senior Officer Philipas
QUEST_LV_0200_20150317_000008	$I wish for a peaceful world. {nl}In order for this to happen, I need to work harder.
QUEST_LV_0200_20150317_000009	$I'll do anything to regain this forest from the monsters. {nl} It's worth risking my life for.
QUEST_LV_0200_20150317_000010	$Our front line is composed exclusively of Philipas's troops. {nl} They'll follow Philipas's commands through anything.
QUEST_LV_0200_20150317_000011	$Live with the idea that any moment could become your last. {nl} We must learn from the past and use it to our advantage.
QUEST_LV_0200_20150317_000012	$Officer Felix
QUEST_LV_0200_20150317_000013	{memo X}$The Entrance of Kateen Forest is rather on the safe side, but please refrain from going any deeper than this.
QUEST_LV_0200_20150317_000014	$Weak Owl Sculpture
QUEST_LV_0200_20150317_000015	$My power is slowly weakening. {nl} Even though there are many souls that need guidance...
QUEST_LV_0200_20150317_000016	$Scared Owl Sculpture
QUEST_LV_0200_20150317_000017	$The holy power of the forest is weakening. {nl} What will happen to us after it's gone?!
QUEST_LV_0200_20150317_000018	$It's too scary. {nl}This never happened when the goddess was still around...
QUEST_LV_0200_20150317_000019	$Sincere Owl Sculpture
QUEST_LV_0200_20150317_000020	$This forest is cursed... it consumes the owls. {nl} I have hardly anything to compel bravery from others.
QUEST_LV_0200_20150317_000021	$Ever since that huge tree suddenly arose, this forest has changed into something horrid. {nl} Even the trees' roots frighten whoever stares at them.
QUEST_LV_0200_20150317_000022	$Devoted Owl Sculpture
QUEST_LV_0200_20150317_000023	$Someone was held captive. {nl} I have a feeling he's going to disappear...
QUEST_LV_0200_20150317_000024	$The sacred force created by the goddess has not completely dissipated. {nl}Will it be able to suppress this devastation? {nl}
QUEST_LV_0200_20150317_000025	$The chief gave me power.{nl}I won't be scared.
QUEST_LV_0200_20150317_000026	$I'm not going to be afraid anymore. I will never be eaten by monsters.
