QUEST_UNUSED_20150317_000001	A ha, you're on your way to see Master Pardoner. I wish you luck.
QUEST_UNUSED_20150317_000002	Note the long way Hashipusho.
QUEST_UNUSED_20150317_000003	So. Korezo. Pardoner does not allow you to introductory. Sound fall that silver was Like this donation was bought {nl} indulgences leads to our salvation. {Nl} wealth also, that it be noted that it is a great blessing of goddess.
QUEST_UNUSED_20150317_000004	Pardoner be viewed back to your master Te. {Nl} if had the fire pot looking for a very long time.
QUEST_UNUSED_20150317_000005	Gatekeeper owl image
QUEST_UNUSED_20150317_000006	Or Tesla-like has created us by cutting the tree. {Nl} So, we owl, you always say want to return the favor. {Nl}
QUEST_UNUSED_20150317_000007	So I what is. You may ask. Would you like Tesla electrolysis collected sculpture of marble from {nl} Cathedral?
QUEST_UNUSED_20150317_000008	If marble of the cathedral, but it likes Tesla-like?
QUEST_UNUSED_20150317_000009	If it were a gift of owl image {nl} the babe, but evidence for my life. {Nl}
QUEST_UNUSED_20150317_000010	Anyway .. What seemed happy visitor comes something today, I will Hey drawing.
QUEST_UNUSED_20150317_000011	When I saw the first time in your Klaipeda, it was thought to be whether the delicate arm sword Ya can shake. {Nl} But, now I became a hero in the hero that many people praise. {Nl}
QUEST_UNUSED_20150317_000012	However, I want to make sure your courage directly. banshee {nl} covers the evil aura the dark forest. You are not a proper challenge harder ones.
QUEST_UNUSED_20150317_000013	Isolation. Just merely hunting. In {nl}, Itogetone waiting on the Klaipeda.
QUEST_UNUSED_20150317_000014	Have been. Was waiting. {Nl} would be given a reward worthy of your container if this degree.
QUEST_UNUSED_20150317_000015	Hehe, I'm really enthusiastic. {Nl} I remembered when you were still convergence wizard. Then also you were really enthusiastic. {Nl}
QUEST_UNUSED_20150317_000016	Now I want to know you grew how. If {nl} banshee et al defile the forest, do not you to the appropriate challenge?
QUEST_UNUSED_20150317_000017	Rather than test, it is considered to be a good thing. In {nl}, and later also met at the Klaipeda.
QUEST_UNUSED_20150317_000018	Yes, brilliantly Hatchiu~otone. and {nl} is a what kind of figure is when the next meet, further anxious?
QUEST_UNUSED_20150317_000019	Plate when you saw the first time, I wonder not die immediately parser too stand up. I thought. {Nl} now I think that it has become more famous than me. {Nl}
QUEST_UNUSED_20150317_000020	You will really try to the will bet described meets applied to its reputation. {Nl} it is to exterminate all the nasty banshee covering this forest. How is it?
QUEST_UNUSED_20150317_000021	What so I'm going important that actually bet. I met me is, it is not more important. In {nl}, waiting on the Klaipeda.
QUEST_UNUSED_20150317_000022	Have been. You really've got to impress me. {Nl} Do you accept now expect a more grown-up appearance?
QUEST_UNUSED_20150317_000023	I think it 's assume is filled with the grace of goddess than when you first came to the Klaipeda. {Nl} I want to know your faith is how deep. {Nl}
QUEST_UNUSED_20150317_000024	Of course, it is not the same thing Let again in an abstract standard. {Nl} and I drive off the banshee that bring the evil aura in this forest in the name of the goddess.
QUEST_UNUSED_20150317_000025	Goddess less our enemy and we do not have differences. In {nl}, I will see you on the Klaipeda.
QUEST_UNUSED_20150317_000026	I'm was Mashi Oh. You showed great faith. {Nl} and I gave me also my great inspiration. {Nl} This is do my little castle. By all means, please write in the correct thing.
QUEST_UNUSED_20150317_000027	Previous quiet here there is no time temporarily or quiet now monsters.
QUEST_UNUSED_20150317_000028	If you leave only my monster, it is to find and attack the soul that gather here.
QUEST_UNUSED_20150317_000029	People are now better Denis mood decreased even a little.
QUEST_UNUSED_20150317_000030	People has decided to let buried the remains of family here. {Nl} now it has been left on the land for uncovering monster all.
QUEST_UNUSED_20150317_000031	Here is time that that was heard little by little sad cries of bereaved family was ... the best of times.
QUEST_UNUSED_20150317_000032	Although relics you have not met yet is large, even look but I think that was good.
QUEST_UNUSED_20150317_000033	Image of other owl has come back soul must be India. {Nl} that a problem has occurred in the vicinity of the barrier is clear.
QUEST_UNUSED_20150317_000034	What might, but I feel that we are only in something
QUEST_UNUSED_20150317_000035	It 's was Asmodian still. {Nl} Here people the tranquility in had defiled.
QUEST_UNUSED_20150317_000036	Soul fled to the north might know the information about the person.
QUEST_UNUSED_20150317_000037	Lost soul
QUEST_UNUSED_20150317_000038	I you're alive. {Nl} However, is never safe you.
QUEST_UNUSED_20150317_000039	Asmodian does not know what sniff, but ... my barrier, you need to open always.
QUEST_UNUSED_20150317_000040	I went to find an image of the owl at all of deeper. {Nl} or we will help me be able to escape from here?
QUEST_UNUSED_20150317_000041	Monster we will chase it tries to absorb the soul. {Nl} to do would steeped in evil forces getting caught caught in them.
QUEST_UNUSED_20150317_000042	Thank you very much! {Nl} I can leave aiming this gap.
QUEST_UNUSED_20150317_000043	Regret many souls
QUEST_UNUSED_20150317_000044	I know. Soul went north before {nl} will not be able to get there. {Nl} However, the length can go to the image of the other owl in the upper. {Nl} for Sakumori our top of the hill, I do not Yes can go.
QUEST_UNUSED_20150317_000045	Monster Why chase us. {Nl} It is painful. Also died ..
QUEST_UNUSED_20150317_000046	The word is it true? Nante clogged length of {nl}.
QUEST_UNUSED_20150317_000047	It is not ginger. {Nl} once I let you know that the soul is where the opposite. {Nl} There is one Proceeding north owl image. And try to go there.
QUEST_UNUSED_20150317_000048	I want to leave before that gather people again.
QUEST_UNUSED_20150317_000049	Sacred owl image
QUEST_UNUSED_20150317_000050	I have been attacked following the de scan all vinegar was mutated from the other day. {Nl} also my body that was made of wood If you leave this, you will be broken soon!
QUEST_UNUSED_20150317_000051	Yes not to want to create to wander me deposited obtained remains and soul again ...
QUEST_UNUSED_20150317_000052	It is unscrupulous people while small.
QUEST_UNUSED_20150317_000053	sad, but our image does not allow you to carry out the mission given now sculptor like. {Nl} to be able to protect myself. {Nl}
QUEST_UNUSED_20150317_000054	Soul responsible too many.
QUEST_UNUSED_20150317_000055	It is great!
QUEST_UNUSED_20150317_000056	Please proceed to the south. {Nl} there will be a statue to go crack like me.
QUEST_UNUSED_20150317_000057	Melancholy owl image
QUEST_UNUSED_20150317_000058	It is strange that living people come here. Do not look at the soul of {nl}, seems a few years have passed.
QUEST_UNUSED_20150317_000059	Thanks to you, the last few years you will be able to hold out.
QUEST_UNUSED_20150317_000060	monster you've witnessed is unreasonable of hollow vendor that drove into a corner us. {Nl} in order to prevent the monsters, you will need to delete the empty owl. {Nl} ne because herd of hollow vendor is using the trap. {Nl} you need to make sure the image of the valley deep in the empty owl.
QUEST_UNUSED_20150317_000061	Soul will find the the owl. {Nl} will cause bite into the empty owl. {Nl} people soul knows very well the fact that get lost to find us
QUEST_UNUSED_20150317_000062	To that utilize a large number of image.
QUEST_UNUSED_20150317_000063	The soul who have been said, it was the place where the soul has been found our owl. The {nl} now, it would be filled with traps of hollow vendor unreasonable is installed. {Nl} pitfalls of herd of hollow vendor will be the threat to anyone.
QUEST_UNUSED_20150317_000064	If soul you have lost the way, we will look for another soul. {Nl} bright trap, I'm tempted so the soul.
QUEST_UNUSED_20150317_000065	I I have had a lot of pitfalls.
QUEST_UNUSED_20150317_000066	Hollow Venter is to such should be in the neighborhood of Yorusu~euru. {Nl} It is strange.
QUEST_UNUSED_20150317_000067	Peripheral hollow vendors need to defeat a swarm of ants seems to display. {Nl} If you do not come out, will must be drag.
QUEST_UNUSED_20150317_000068	Or Will the monster Where appeared?
QUEST_UNUSED_20150317_000069	If this does not come out. {Nl} There is a idea.
QUEST_UNUSED_20150317_000070	Even this Nante does not come out a hollow Venter of key, there will be in the place where it was told to me always {nl}.
QUEST_UNUSED_20150317_000071	You will clearly represent the figure and you arrive.
QUEST_UNUSED_20150317_000072	This is the key .. barrier.
QUEST_UNUSED_20150317_000073	I open the front door with a key. {Nl} there will be a soul of assistant who will lead the soul to the other side of the barrier. {Nl} the soul might be able to help you.
QUEST_UNUSED_20150317_000074	Sometimes in the soul, there are those who serve and left to than receive India. The soul is such a category.
QUEST_UNUSED_20150317_000075	Assistant soul
QUEST_UNUSED_20150317_000076	Hello! {Nl} Oh, I Are You to be folded alive.
QUEST_UNUSED_20150317_000077	I've already passed the time to receive India. However, I was not acquired absolutely. {Nl} before you come, I is where you had to give up without a soul if unless assistance. {Nl} Now go and please open the barrier. Please tell sure {nl} and toward the owl image here now and safety of!
QUEST_UNUSED_20150317_000078	Me? To my story, is often too circumstances ...
QUEST_UNUSED_20150317_000079	When getting rid of Asmodian, had its load is thought lost. {Nl} I it was not. Thank you for opening the door.
QUEST_UNUSED_20150317_000080	Please listen to the advice in the soul of the assistant. {Nl} get lost and need help to soul.
QUEST_UNUSED_20150317_000081	I troubled. The force is, also let's do if the Asmodian?
QUEST_UNUSED_20150317_000082	Oh, but I you say the soul. {Nl} It has been lost in the place a high hill.
