SKILL_20150317_000001	Attack
SKILL_20150317_000002	[Eritokepa] once, physical, poison attribute, Choi preprocessor
SKILL_20150317_000003	[Rafflesia] - Poison flying around
SKILL_20150317_000004	[Rafflesia] - Poison shells flying
SKILL_20150317_000005	[Raffly] physical, hitting, German property, once the attack
SKILL_20150317_000006	[Raffly] physical, hitting, German property, once a jump to a predator attack
SKILL_20150317_000007	[Puragi] physical, Cherigi, poison attribute, once common attacks, forward sector
SKILL_20150317_000008	[Puragi]-based physical blow, German property, once the attack
SKILL_20150317_000009	[Puragi] -based physical blow, German property, one down stroke
SKILL_20150317_000010	[Zigri] normal attack, the front fan
SKILL_20150317_000011	[Zigri] applying rotation attack
SKILL_20150317_000012	[Zigri] Jump to shock
SKILL_20150317_000013	[Fisherman] physical, blow, water attributes, downhill with your single fishing seat
SKILL_20150317_000014	[Fisherman] Magic, buff, Magic,] Bafusukiru
SKILL_20150317_000015	[Green Pokubon] Get Physical, Sting, Brain property, once the horns are
SKILL_20150317_000016	[Bushspider] physical, strikes, land property, once the attack
SKILL_20150317_000017	[Fragaras] tearing asked quickly
SKILL_20150317_000018	[Fragaras] greatly tearing ask
SKILL_20150317_000019	[Fragaras] Las Normal attack, the front fan
SKILL_20150317_000020	Basic normal attack
SKILL_20150317_000021	[Meduja] Magic, magic, brain attributes per attack
SKILL_20150317_000022	[Gribaru] - physical, Slash, brain attack per property
SKILL_20150317_000023	[Gribaru] - physical, Slash, brain attribute one knockback attack
SKILL_20150317_000024	[Bite] physical, sting, poison attribute attack once
SKILL_20150317_000025	[Banshee] Magic, magic, ice attribute, and blow in a single breath
SKILL_20150317_000026	[Banshee] Magic, magic, ice attributes, Ice Pike
SKILL_20150317_000027	[Mini Griba] - physical, blow, brain attributes, beating by one handed
SKILL_20150317_000028	[Big Griba] - physical, blow, brain attributes, one strong beat down
SKILL_20150317_000029	[Big Griba] - physical, blow, brain attributes, one dokmu Flushing
SKILL_20150317_000030	[Big Griba] - physical, blow, brain attributes, hitting the ground with both hands once
SKILL_20150317_000031	[Hamming] physical, blow, brain attributes, one stroke ahead head crash
SKILL_20150317_000032	[Hamming] physical, blow, brain attributes, one stroke ahead counter skills
