SKILL_20150317_000001	공격
SKILL_20150317_000002	[엘리트케파] 1회, 물리, 독속성, 떄리기
SKILL_20150317_000003	[라플레시아] 주변으로 독 날리기
SKILL_20150317_000004	[라플레시아] 독 포탄 날리기
SKILL_20150317_000005	[라플리] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000006	[라플리] 물리, 타격, 독속성, 1회 점프해서 덮치는 공격
SKILL_20150317_000007	[푸라기] 물리, 떄리기, 독속성, 1회 일반 공격, 전방 부채꼴
SKILL_20150317_000008	[푸라기] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000009	[푸라기] 물리, 타격, 독속성, 1회 내려치기
SKILL_20150317_000010	[지그리] 일반 공격, 전방 부채꼴
SKILL_20150317_000011	[지그리] 회전공격 가하기
SKILL_20150317_000012	[지그리] 점프해서 충격파 보내기
SKILL_20150317_000013	[피셔맨] 물리, 타격, 수속성, 1회 낚시대로 내려치기
SKILL_20150317_000014	[피셔맨] 매직, 버프, 매직, ] 버프 스킬
SKILL_20150317_000015	[초록 포쿠본] 물리, 찌르기, 뇌속성, 1회 뿔로 들이받기
SKILL_20150317_000016	[크루마보] 물리, 타격, 땅속성, 1회 공격
SKILL_20150317_000017	[프라가라스] 빠르게 물어뜯기
SKILL_20150317_000018	[프라가라스] 크게 물어뜯기
SKILL_20150317_000019	[프라가라스] 일반 공격, 전방 부채꼴
SKILL_20150317_000020	베이직 일반 공격
SKILL_20150317_000021	[미듀쟈] 매직, 매직, 뇌속성 1회 공격
SKILL_20150317_000022	[그리바루] 물리, 베기, 뇌속성 1회 공격
SKILL_20150317_000023	[그리바루] 물리, 베기, 뇌속성 1회 넉백 공격
SKILL_20150317_000024	[바이트] 물리, 찌르기, 독속성 1회 공격
SKILL_20150317_000025	[밴시] 매직, 매직, 얼음속성, 1회 입김으로 타격
SKILL_20150317_000026	[밴시] 매직, 매직, 얼음속성, 아이스파이크
SKILL_20150317_000027	[미니그리바] 물리, 타격, 뇌속성, 1회 양손으로 치기
SKILL_20150317_000028	[빅그리바] 물리, 타격, 뇌속성, 1회 강하게 내려치기
SKILL_20150317_000029	[빅그리바] 물리, 타격, 뇌속성, 1회 독무 내뿜기
SKILL_20150317_000030	[빅그리바] 물리, 타격, 뇌속성, 1회 양손으로 바닥 치기
SKILL_20150317_000031	[하밍] 물리, 타격, 뇌속성, 1타 전방 머리 박치기
SKILL_20150317_000032	[하밍] 물리, 타격, 뇌속성, 1타 전방 카운터 스킬
SKILL_20150317_000033	[하밍] 물리, 타격, 뇌속성, 1타 점프하면서 돌려치기 공격
SKILL_20150317_000034	[트리펠리] 물리, 떄리기, 뇌속성, 대기해서 짧게 몸통 박치기
SKILL_20150317_000035	[트리펠리] 물리, 떄리기, 뇌속성, 위에서 아래로 내려치기
SKILL_20150317_000036	[트리펠리] 물리, 떄리기, 뇌속성, 대기해서 몸통 박치기
SKILL_20150317_000037	[다크슬라임] 물리, 타격, 암속성, 1회 박치기 공격
SKILL_20150317_000038	[다크슬라임] 물리, 타격, 암속성, 1회 공격
SKILL_20150317_000039	[케파] 물리, 타격, 독속성, 전방 부채꼴
SKILL_20150317_000040	[중독된 케파] 일반 공격, 전방 부채꼴
SKILL_20150317_000041	[늙은케파] 물리, 타격, 땅속성, 1회 연기 뿜기 공격
SKILL_20150317_000042	[던볼] 물리, 찌르기, 독속성 전방 부채꼴 몸통 공격
SKILL_20150317_000043	[메슘] 물리, 타격, 화속성, 전방 부채꼴
SKILL_20150317_000044	[사크몰리] 매직, 타격, 수속성. 1회 일반 공격
SKILL_20150317_000045	[사크몰리] 매직, 타격, 수속성, 1회 일반 공격
SKILL_20150317_000046	[유코푸스] 물리, 타격, 땅속성, 1타 전방 몸통 박치기
SKILL_20150317_000047	[유코푸스] 물리, 타격, 땅속성, 1타 전방 점프하여 몸통 박치기
SKILL_20150317_000048	[붉은 크루마보] 점프해서 내려찍기
SKILL_20150317_000049	[붉은 크루마보] 일반 공격, 전방 부채꼴
SKILL_20150317_000050	[디오니아 새끼] 일반 공격, 전방 부채꼴
SKILL_20150317_000051	[미니그리바, 초록 그리바] 물리, 타격, 독속성, 1회 원 펀치
SKILL_20150317_000052	[미니그리바, 초록 그리바] 물리, 타격, 독속성, 2회 원투 펀치
SKILL_20150317_000053	[미니그리바, 초록 그리바] 물리, 타격, 독속성, 1회 양손으로 치기
SKILL_20150317_000054	[푸른 빅 그리바] 물리, 타격, 수속성 1회 공격
SKILL_20150317_000055	[푸른 빅 그리바] 매직, 매직, 수속성 1회 공격
SKILL_20150317_000056	[늙은케파] 일반 공격, 전방 부채꼴
SKILL_20150317_000057	[나무유령] 한손으로 타격
SKILL_20150317_000058	[나무유령] 양손으로 박수치기
SKILL_20150317_000059	[나무유령] 바닥을 내려치기
SKILL_20150317_000060	[코카트리스] 매직, 매직, 화속성, 3회 불 뿜어내기 공격
SKILL_20150317_000061	[지누테] 물리 찌르기 화속성 1회 공격
SKILL_20150317_000062	[지누테] 물리 베기 화속성 1회 공격
SKILL_20150317_000063	[톤투리아] 물리 타격 전기속성 1회 공격
SKILL_20150317_000064	[톤투리아] 물리 떄리기 전기속성 2회 공격
SKILL_20150317_000065	[톤투스] 물리 떄리기, 독속성 2회 공격
SKILL_20150317_000066	[톤투스] 물리 찌르기, 독속성 1회 공격
SKILL_20150317_000067	[톤투스] 물리 떄리기, 독속성 1회 공격
SKILL_20150317_000068	[베카라베] 물리, 찌르기, 독속성, 전방 1회 찌르기 공격
SKILL_20150317_000069	[베카라베] 물리, 찌르기, 독속성, 전방 1회 올려찌르기 공격
SKILL_20150317_000070	[제페토] 물리 타격, 땅속성 2회 공격
SKILL_20150317_000071	[제페토] 물리 타격, 땅속성 1회 공격
SKILL_20150317_000072	[제페토] 물리 떄리기, 땅속성 1회 공격
SKILL_20150317_000073	[부우크] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000074	[부우크] 물리, 타격, 땅속성 두발 내려치기 1회 공격
SKILL_20150317_000075	[데스모두스] 물리, 찌르기, 암속성 꼬리로 타격
SKILL_20150317_000076	[데스모두스] 물리, 찌르기, 암속성 몸통으로 타격
SKILL_20150317_000077	[피노] 물리 타격, 땅속성 1회 공격
SKILL_20150317_000078	[콜리플라워] 물리, 찌르기, 독속성, 1타 촉수로 내려치기
SKILL_20150317_000079	[콜리플라워] 물리, 찌르기, 독속성, 1타 촉수로 후려치기
SKILL_20150317_000080	[콜리플라워] 물리, 찌르기, 독속성, 바닥을 내려치기
SKILL_20150317_000081	[투구벌레] 물리, 찌르기, 땅속성, 1회 공격
